name,ra,dec
2FLAT J002536.9-483809,6.40387,-48.636
2FLAT J012715.8-442922,21.81593,-44.48956
2FLAT J015042.0-683246,27.6752,-68.54622
2FLAT J015238.4-501014,28.15984,-50.17064
2FLAT J015924.7-305320,29.85277,-30.88896
2FLAT J021952.9-300135,34.9704,-30.0266
2FLAT J031238.5-272653,48.16031,-27.44809
2FLAT J033331.9-270916,53.38305,-27.15459
2FLAT J035054.6-195223,57.72774,-19.8732
2FLAT J040916.2-382052,62.31764,-38.348
2FLAT J053149.5-782501,82.9596128,-78.4149364
2FLAT J053743.2+040031,84.43009,4.00879
2FLAT J061100.2-491035,92.7507,-49.1764
2FLAT J061152.6-663802,92.96904,-66.63401
2FLAT J083847.6-834344,129.69822,-83.72901
2FLAT J090738.6-060441,136.91073,-6.07814
2FLAT J111603.8+140646,168.975,14.1167
2FLAT J115118.1-292744,177.82552,-29.46248
2FLAT J131318.1-443731,198.32562,-44.6254
2FLAT J131802.9-114212,199.51213,-11.70355
2FLAT J135920.7-784347,209.83634,-78.72976
2FLAT J140223.9-464859,210.59975,-46.81651
2FLAT J200913.2-853844,302.30506,-85.64566
2FLAT J212857.9-822339,322.24135,-82.39436
2FLAT J235509.1-361437,358.78793,-36.24384
2FLAT J034218.9+692917,55.5789,69.48806
2FLAT J045345.3-301823,73.43883,-30.30657
2FLAT J075225.3+712049,118.1054,71.3471
2FLAT J084422.2-821434,131.09252,-82.24302
2FLAT J092133.3+602824,140.3888,60.4736
2FLAT J124710.6-501601,191.79409,-50.2671
2FLAT J173725.8+712358,264.35746,71.39958
2FLAT J203935.9+664739,309.89971,66.79436
2FLAT J204259.7+152108,310.74885,15.35226
2FLAT J102732.4+352622,156.88496,35.43945
2FLAT J130255.4+505618,195.73069,50.93836
2FLAT J142904.6+120410,217.26917,12.0695
2FLAT J145827.4+483245,224.614,48.54611
2FLAT J094502.0-044833,146.25843,-4.8094
2FLAT J231023.4+311949,347.59738,31.33033
2FLAT J004139.0+083353,10.43018,8.55513
2FLAT J010353.2+351322,15.97174,35.22294
2FLAT J015313.2-110627,28.30498,-11.10751
2FLAT J054857.5-214919,87.26413,-21.83349
2FLAT J081941.8+053023,124.92433,5.50639
2FLAT J085312.2+072200,133.31666,7.37416
2FLAT J095202.3-171443,148.00939,-17.24541
2FLAT J212125.4-831915,320.35566,-83.32088
2FLAT J224833.4+322332,342.13896,32.39241
2FLAT J233252.2-052142,353.21748,-5.36181
2FLAT J011217.0+025738,18.071,2.9606
2FLAT J031521.1+101243,48.8381,10.212
2FLAT J100955.5+140154,152.4813,14.0318
2FLAT J141419.7+790548,213.582,79.0967
2FLAT 20.7000 36.8900,20.7,36.89
2FLAT J080352.1+640314,120.9673,64.054
2FLAT J122755.7+493256,186.98218,49.54889
2FLAT J142306.2+480210,215.77565,48.03635
2FLAT J184057.4+545215,280.23908,54.87109
2FLAT J040324.6-242949,60.85241,-24.49717
2FLAT J100444.8+375212,151.18652,37.87001
2FLAT J101051.8+333018,152.71597,33.50505
2FLAT J122847.4+370612,187.197594,37.1033574
2FLAT J003012.1+055527,7.55038,5.92435
2FLAT J034636.6+382657,56.6525,38.4494
2FLAT J231307.7+062839,348.2821,6.4775
2FLAT J135423.1+664523,208.596207,66.7566076
2FLAT J091908.8+332442,139.7866,33.4117
2FLAT J002342.9-593033,5.92934,-59.50902
2FLAT J044817.4-210944,72.0724,-21.1624
2FLAT J121343.8-165856,183.43237,-16.98243
2FLAT J121514.4-062804,183.81,-6.4678
2FLAT J122610.0-294009,186.5417,-29.6693
2FLAT J134215.4-290041,205.564015,-29.011448
2FLAT J160601.1-764754,241.50458,-76.79861
2FLAT J013617.5+312432,24.073,31.409
2FLAT J025418.1+333444,43.5752353,33.5790178
2FLAT J073633.0+313128,114.13765,31.52457
2FLAT J094014.7+260329,145.06134,26.05832
2FLAT J184510.8+400750,281.2951,40.1307536
2FLAT J235037.0+362204,357.6542,36.3678
2FLAT J002159.7+453008,5.4987,45.5024
2FLAT J015456.3+474326,28.73453,47.72404
2FLAT J131739.2+411545,199.41333,41.26268
2FLAT J230441.9+440106,346.1744,44.0184
2FLAT J035927.9+275823,59.8664,27.9733
2FLAT J053152.1-385415,83.00821,-38.81543
2FLAT J082538.6+615728,,
2FLAT J011804.5-155054,19.5188,-15.8484
2FLAT J044128.9+040839,70.37026,4.14434
2FLAT J050428.8-151226,76.11999,-15.20746
2FLAT J053408.4+085450,83.53507,8.91409
2FLAT J140702.1+762813,211.759,76.4705
2FLAT J142225.8+495355,215.6076998,49.8988136
2FLAT J145531.9+213139,223.882722,21.5276483
2FLAT J152053.8-380027,230.2128,-38.0145
2FLAT J160533.0+300129,241.3877,30.02492
2FLAT J165935.3+664624,,
2FLAT J230040.9+033710,345.1704,3.6197
2FLAT J010203.8-192702,15.5158,-19.4508
2FLAT J034254.2-370737,55.72576,-37.12712
2FLAT J011408.5+122255,18.5353,12.3822
2FLAT J144433.7+192121,221.140508,19.3559552
2FLAT J032241.6-371227,,
2FLAT J020513.1+144432,31.30466,14.74235
2FLAT J125437.3-200056,193.65526,-20.01559
2FLAT J232626.0-414013,351.60853,-41.67052
2FLAT J150225.0-150852,225.60424,-15.14792
2FLAT J201613.10+163234,,
2FLAT J141114.6+370534,212.81069,37.0929174
2FLAT J213618.3-444349,324.07608,-44.73043
2FLAT J100041.0-313955,150.17085,-31.6652989
2FLAT J010226.7+095939,15.6112544,9.99429505
2FLAT J011124.9+344154,17.85358,34.69851
2FLAT J015856.3+130702,29.7345,13.1174
2FLAT J030227.0+335445,45.61269,33.91272
2FLAT J042004.7-040341,65.01963,-4.06141
2FLAT J063557.7+311156,98.99025,31.19915
2FLAT J103921.7-285008,159.840565,-28.8355314
2FLAT J110833.4+730404,167.1391,73.0678
2FLAT J111429.1+413303,168.61835,41.55766
2FLAT J120829.3+100059,182.12217,10.01644
2FLAT J122555.7+701846,186.48208,70.31289
2FLAT J123130.4+414839,187.87654,41.81104
2FLAT J130329.4+185322,195.87271,18.88947
2FLAT J134003.1+390038,205.01281,39.01069
2FLAT J142626.9-255529,216.61205,-25.92473
2FLAT J144022.3+382013,220.09304,38.33711
2FLAT J153611.7-273004,234.04883,-27.50112
2FLAT J154353.8+654840,235.9742,65.8112
2FLAT J162819.9-334341,247.0829,-33.7282
2FLAT J163341.4+561801,248.4226,56.3004
2FLAT J163632.1-045505,249.1337,-4.9183
2FLAT J190848.4-250929,287.2018,-25.1582
2FLAT J193655.1-295331,294.22944,-29.89217
2FLAT J204539.0+043823,311.4126,4.63976
2FLAT J210605.5+750920,316.52283,75.15577
2FLAT J210938.0+631555,317.40854,63.26536
2FLAT J213435.10-270556,323.65,-27.0989
2FLAT J221811.4-234820,334.5475,-23.8056
2FLAT J222553.1-080415,336.47148,-8.07085
2FLAT J225536.7+420252,343.90295,42.04793
2FLATJ001942.7-303119,4.92779,-30.522
2FLAT J022912.8-540324,37.30327,-54.05668
2FLAT J023151.8-393546,37.96594,-39.59612
2FLAT J092900.3-344255,142.2512,-34.7155
2FLAT J094808.5-344009,147.03554,-34.66934
2FLAT J101908.5-270855,154.78535,-27.14879
2FLAT J133404.2-115014,-11.8373,-11.8373
2FLAT J133731.4+003528,204.38069,0.59137
2FLAT J145432.9-401233,223.63696,-40.20917
