name,ra,dec
PSRJ0006+1834,1.52,18.58306
PSRJ0007+7303,1.75708,73.05206
PSRJ0014+4746,3.57396,47.77594
PSRJ0023+0923,5.82033,9.38996
PSRJ0024-7204C,5.9598,-72.07541
PSRJ0024-7204D,6.05783,-72.07884
PSRJ0024-7204E,6.04627,-72.08893
PSRJ0024-7204F,6.01606,-72.07856
PSRJ0024-7204G,6.03316,-72.07769
PSRJ0024-7204H,6.02792,-72.06855
PSRJ0024-7204I,6.03305,-72.07769
PSRJ0024-7204J,5.99753,-72.06633
PSRJ0024-7204L,6.01571,-72.08248
PSRJ0024-7204M,5.97703,-72.09187
PSRJ0024-7204N,6.03828,-72.07469
PSRJ0024-7204O,6.01938,-72.0816
PSRJ0024-7204P,6.02363,-72.08128
PSRJ0024-7204Q,6.0687,-72.07365
PSRJ0024-7204R,6.02363,-72.08128
PSRJ0024-7204S,6.01657,-72.07843
PSRJ0024-7204T,6.03562,-72.07748
PSRJ0024-7204U,6.04098,-72.06658
PSRJ0024-7204V,6.02363,-72.08128
PSRJ0024-7204W,6.02529,-72.08028
PSRJ0024-7204X,6.02363,-72.08128
PSRJ0024-7204Y,6.02363,-72.08128
PSRJ0024-7204Z,6.02363,-72.08128
PSRJ0026+6320,6.71067,63.33357
PSRJ0030+0451,7.61428,4.86103
PSRJ0033+57,8.25,57.0
PSRJ0033+61,8.25,61.0
PSRJ0034-0534,8.59095,-5.57684
PSRJ0034-0721,8.53696,-7.36484
PSRJ0034+69,8.5,69.71667
PSRJ0040+5716,10.13484,57.27359
PSRJ0045-7042,11.35704,-70.70197
PSRJ0045-7319,11.3965,-73.3175
PSRJ0048+3412,12.1416,34.20223
PSRJ0051+0423,12.87542,4.38028
PSRJ0053+69,13.25,69.65
PSRJ0054+66,13.5,66.0
PSRJ0054+69,13.61667,69.43333
PSRJ0055+5117,13.93908,51.29027
PSRJ0056+4756,14.1063,47.93626
PSRJ0057-7201,14.43333,-72.02194
PSRJ0058+6125,14.5,61.41667
PSRJ0059+50,14.75,50.03333
PSRJ0100-7211,15.17929,-72.19267
PSRJ0101-6422,15.29632,-64.37505
PSRJ0102+4839,15.75,48.0
PSRJ0102+6537,15.63733,65.62039
PSRJ0103+54,15.90417,54.03333
PSRJ0106+4855,16.60442,48.93106
PSRJ0108-1431,17.03478,-14.53061
PSRJ0108+6608,17.09436,66.14277
PSRJ0108+6905,17.12293,69.09795
PSRJ0111-7131,17.86988,-71.52967
PSRJ0112+66,18.0,66.36667
