name,ra,dec 
PGC 0001309,5.1146,0.8333
PGC 0002501,10.46,-9.3032
PGC 0002522,10.5471,0.9045
PGC 0003451,14.4392,-0.4122
PGC 0003817,16.071,-0.7649
PGC 0003830,16.1057,-0.1876
PGC 0003976,16.8445,0.9259
PGC 0004500,18.7396,0.4308
PGC 0006004,24.3146,-9.1976
PGC 0006673,27.3087,13.0552
PGC 0007064,28.5753,-9.7135
PGC 0008718,34.27,1.2442
PGC 0010175,40.27,-8.2558
PGC 0010649,42.2168,-0.5241
PGC 0011007,43.7908,-0.178
PGC 0011170,44.3493,-0.3095
PGC 0012801,51.3556,-6.1441
PGC 0021014,111.6477,43.2959
PGC 0021542,115.0946,23.2749
PGC 0021659,115.9018,49.6675
PGC 0022260,119.1884,39.9279
PGC 0022321,119.4975,52.8567
PGC 0022322,119.5017,52.8617
PGC 0022350,119.6171,37.7866
PGC 0022397,119.8744,27.026
PGC 0022501,120.3465,15.3692
PGC 0022800,121.8347,51.1313
PGC 0022838,122.0402,39.1572
PGC 0022950,122.7566,5.0875
PGC 0023701,126.784,25.9701
PGC 0023834,127.4121,52.075
PGC 0024669,131.7051,28.1714
PGC 0024728,132.0433,37.7549
PGC 0025144,134.247,51.3471
PGC 0025280,135.0602,3.1776
PGC 0025402,135.6746,25.9378
PGC 0025524,136.4388,36.3545
PGC 0026000,138.3585,52.9812
PGC 0026302,139.6471,52.514
PGC 0026323,139.7275,50.0209
PGC 0026377,139.9454,33.75
PGC 0026398,140.0093,1.0383
PGC 0026504,140.465,33.4019
PGC 0026571,140.8112,40.1635
PGC 0026733,141.4277,11.4325
PGC 0026854,141.9706,29.9858
PGC 0027111,143.221,67.6172
PGC 0027423,144.4377,2.7473
PGC 0028270,147.4674,34.7141
PGC 0028414,147.973,12.9444
PGC 0028796,149.5291,10.3595
PGC 0028897,149.9341,12.9882
PGC 0029024,150.3967,12.7647
PGC 0029220,151.1326,60.1078
PGC 0029249,151.2249,5.0626
PGC 0029338,151.5319,47.262
PGC 0029340,151.544,2.9125
PGC 0029807,153.4098,-0.9249
PGC 0029822,153.4607,38.7645
PGC 0030001,154.0959,60.2347
PGC 0030686,156.6806,57.2262
PGC 0031457,159.1405,38.4385
PGC 0031689,159.8355,-0.2004
PGC 0031768,160.1186,9.1824
PGC 0031845,160.3799,37.313
PGC 0032032,161.0869,14.0841
PGC 0032244,161.9183,38.9319
