FRII_Name,ra,dec
SDSS J004326.80-105421.8,10.861667,-10.906056
SDSS J011830.65-104356.4,19.627708,-10.732333
SDSS J214801.27-082527.5,327.005292,-8.424306
SDSS J024558.54-064900.6,41.493917,-6.816833
SDSS J114525.98-022332.9,176.358250,-2.392472
SDSS J151247.16-014423.3,228.196500,-1.739806
SDSS J133453.36-013238.5,203.722333,-1.544028
SDSS J002107.62-005531.4,5.281750,-0.925389
SDSS J232710.69-004157.8,351.794542,-0.699389
SDSS J231542.10-002607.0,348.925417,-0.435278
SDSS J095640.77-000124.0,149.169875,-0.023333
SDSS J151640.21 001501.9,229.167542,0.250528
SDSS J001247.57 004715.8,3.198208,0.787722
SDSS J004404.66 010152.9,11.019417,1.031361
SDSS J151423.26 011130.7,228.596917,1.191861
SDSS J151639.48 024712.6,229.164500,2.786833
SDSS J152257.38 025512.1,230.739083,2.920028
SDSS J125222.61 031554.0,193.094208,3.265000
SDSS J161057.11 032202.8,242.737958,3.367444
SDSS J114428.11 035815.7,176.117125,3.971028
SDSS J082247.63 041750.0,125.698458,4.297222
SDSS J141247.44 045431.5,213.197667,4.908750
SDSS J103443.26 053319.8,158.680250,5.555500
SDSS J134532.76 054610.4,206.386500,5.769556
SDSS J105439.55 060630.7,163.664792,6.108528
SDSS J144626.18 063359.1,221.609083,6.566417
SDSS J102150.38 080833.8,155.459917,8.142722
SDSS J131509.84 084053.3,198.791000,8.681472
SDSS J103128.22 084324.1,157.867583,8.723361
SDSS J094201.76 084736.8,145.507333,8.793556
SDSS J135124.55 085216.4,207.852292,8.871222
SDSS J115358.87 093929.8,178.495292,9.658278
SDSS J134503.02 094724.0,206.262583,9.790000
SDSS J093641.99 111350.9,144.174958,11.230806
SDSS J145752.76 111809.5,224.469833,11.302639
SDSS J110253.95 125904.0,165.724792,12.984444
SDSS J141231.76 140041.0,213.132333,14.011389
SDSS J102156.67 144331.4,155.486125,14.725389
SDSS J145423.45 162119.0,223.597708,16.355278
SDSS J160909.44 162549.9,242.289333,16.430528
SDSS J110151.89 164038.6,165.466208,16.677389
SDSS J092611.26 170357.9,141.546917,17.066083
SDSS J141527.22 172431.1,213.863417,17.408639
SDSS J080158.09 175152.6,120.492042,17.864611
SDSS J080107.19 175849.7,120.279958,17.980472
SDSS J093215.91 180419.9,143.066292,18.072194
SDSS J152245.61 194220.3,230.690042,19.705639
SDSS J114432.99 213217.0,176.137458,21.538056
SDSS J144625.13 214209.8,221.604708,21.702722
SDSS J094703.01 231614.2,146.762542,23.270611
SDSS J153007.96 231616.0,232.533167,23.271111
SDSS J151414.68 232708.4,228.561167,23.452333
SDSS J110214.91 234111.9,165.562125,23.686639
SDSS J080535.00 240950.3,121.395833,24.163972
SDSS J110214.15 242954.7,165.558958,24.498528
SDSS J150146.57 243916.0,225.444042,24.654444
SDSS J143715.00 244532.2,219.312500,24.758944
SDSS J142341.44 250149.2,215.922667,25.030333
SDSS J115525.19 253222.4,178.854958,25.539556
SDSS J122640.22 253855.5,186.667583,25.648750
SDSS J110035.08 253911.0,165.146167,25.653056
SDSS J164857.35 260441.1,252.238958,26.078083
SDSS J115820.13 262112.0,179.583875,26.353333
SDSS J155852.66 262618.9,239.719417,26.438583
SDSS J164924.01 263502.6,252.350042,26.584056
SDSS J163604.21 271829.0,249.017542,27.308056
SDSS J132848.45 275227.8,202.201875,27.874389
SDSS J135432.96 281436.1,208.637333,28.243361
SDSS J145753.81 283218.7,224.474208,28.538528
SDSS J110215.68 290725.2,165.565333,29.123667
SDSS J131904.16 293834.8,199.767333,29.643000
SDSS J133742.35 294223.2,204.426458,29.706444
SDSS J115812.96 300625.9,179.554000,30.107194
SDSS J143010.53 304428.3,217.543875,30.741194
SDSS J122052.45 313308.4,185.218542,31.552333
SDSS J084759.04 314708.3,131.996000,31.785639
SDSS J075221.83 333348.9,118.090958,33.563583
SDSS J144948.90 335126.8,222.453750,33.857444
SDSS J120732.92 335240.1,181.887167,33.877806
SDSS J135526.20 352544.1,208.859167,35.428917
SDSS J150031.48 362849.8,225.131167,36.480500
SDSS J114427.19 370831.8,176.113292,37.142167
SDSS J091153.61 372413.3,137.973375,37.403694
SDSS J102237.40 383444.9,155.655833,38.579139
SDSS J081512.33 384045.4,123.801375,38.679278
SDSS J142557.05 392444.9,216.487708,39.412472
SDSS J101954.48 393022.8,154.977000,39.506333
SDSS J094124.02 394441.8,145.350083,39.744944
SDSS J105052.47 400050.7,162.718625,40.014083
SDSS J101558.24 404647.2,153.992667,40.779778
SDSS J111317.91 412429.3,168.324625,41.408139
SDSS J155700.17 413111.1,239.250708,41.519750
SDSS J091445.53 413714.2,138.689708,41.620611
SDSS J083109.54 414738.1,127.789750,41.793917
SDSS J151454.07 420047.3,228.725292,42.013139
SDSS J084529.04 421952.9,131.371000,42.331361
SDSS J154042.39 422136.0,235.176625,42.360000
SDSS J132117.81 423515.2,200.324208,42.587556
SDSS J162046.64 430911.4,245.194333,43.153167
SDSS J083112.15 434158.4,127.800625,43.699556
SDSS J104742.83 434652.7,161.928458,43.781306
SDSS J114948.11 435412.6,177.450458,43.903500
SDSS J081734.46 445850.8,124.393583,44.980778
SDSS J125303.17 450044.8,193.263208,45.012444
SDSS J124021.98 465636.3,190.091583,46.943417
SDSS J104502.74 471759.1,161.261417,47.299750
SDSS J133729.21 481820.5,204.371708,48.305694
SDSS J113626.35 501323.7,174.109792,50.223250
SDSS J075628.78 501716.3,119.119917,50.287861
SDSS J154118.78 514043.6,235.328250,51.678778
SDSS J075529.95 520450.6,118.874792,52.080722
SDSS J081343.61 525738.2,123.431708,52.960611
SDSS J103602.94 525936.1,159.012250,52.993361
SDSS J091225.08 534139.1,138.104500,53.694194
SDSS J134134.85 534443.7,205.395208,53.745472
SDSS J112126.44 534456.7,170.360167,53.749083
SDSS J150827.31 541507.4,227.113792,54.252056
SDSS J104632.21 543559.7,161.634208,54.599917
SDSS J090150.32 555527.4,135.459667,55.924278
SDSS J091948.45 575055.9,139.951875,57.848861
SDSS J113133.57 604727.9,172.889875,60.791083
SDSS J165847.14 625624.6,254.696417,62.940167
SDSS J135117.87 640936.9,207.824458,64.160000
