ra,dec,name
7.2540833,-1.22825,SDSS J002900.98-011341.7
9.8771667,-10.5385,SDSS J003930.52-103218.6
10.4509167,-9.2841944,SDSS J004148.22-091703.1
10.752625,-9.2295278,SDSS J004300.63-091346.3
11.3769167,-0.7963611,SDSS J004530.46-004746.9
18.229625,-9.8446111,SDSS J011255.11-095040.6
23.3635417,-8.4045556,SDSS J013327.25-082416.4
23.55325,-1.1248333,SDSS J013412.78-010729.4
23.7642917,-0.9076667,SDSS J013503.43-005427.6
25.1232917,0.3071667,SDSS J014029.59+001825.8
28.224125,-0.1681944,SDSS J015253.79-001005.5
43.1146667,-7.9348333,SDSS J025227.52-075605.4
43.6582917,0.9394167,SDSS J025437.99+005621.9
112.559875,39.5334444,SDSS J073014.37+393200.4
113.771875,41.9743056,SDSS J073505.25+415827.5
114.3299167,29.4922222,SDSS J073719.18+292932.0
115.3577083,48.1539722,SDSS J074125.85+480914.3
115.9635417,28.3577778,SDSS J074351.25+282128.0
118.2912917,35.9325278,SDSS J075309.91+355557.1
118.7777917,26.3544167,SDSS J075506.67+262115.9
120.3053333,34.6752222,SDSS J080113.28+344030.8
120.8609167,30.6236111,SDSS J080326.62+303725.0
122.34625,21.2628333,SDSS J080923.10+211546.2
123.8467083,11.9541944,SDSS J081523.21+115715.1
124.0183333,11.4137222,SDSS J081604.40+112449.4
124.0594583,42.9493333,SDSS J081614.27+425657.6
124.70725,4.10875,SDSS J081849.74+040631.5
124.8860833,20.1302222,SDSS J081932.66+200748.8
125.10475,16.0231111,SDSS J082025.14+160123.2
125.1170417,48.8964722,SDSS J082028.09+485347.3
126.515875,47.3195278,SDSS J082603.81+471910.3
126.873875,53.1259444,SDSS J082729.73+530733.4
126.8900833,16.0149167,SDSS J082733.62+160053.7
127.36025,22.7434167,SDSS J082926.46+224436.3
127.9117917,22.5730278,SDSS J083138.83+223422.9
127.9987083,30.6585278,SDSS J083159.69+303930.7
128.1005417,16.8303056,SDSS J083224.13+164949.1
130.4190417,25.80775,SDSS J084140.57+254827.9
130.4985417,50.0976944,SDSS J084159.65+500551.7
133.33975,33.2749722,SDSS J085321.54+331629.9
134.3310833,24.1951667,SDSS J085719.46+241142.6
135.0756667,7.7598611,SDSS J090018.16+074535.5
135.6892917,16.7862222,SDSS J090245.43+164710.4
136.4314167,40.2846667,SDSS J090543.54+401704.8
138.6750833,15.3654722,SDSS J091442.02+152155.7
140.2043333,40.6646667,SDSS J092049.04+403952.8
142.3959167,62.9498056,SDSS J092935.02+625659.3
142.74475,3.8076944,SDSS J093058.74+034827.7
143.2719583,29.1708611,SDSS J093305.27+291015.1
145.5085,10.97175,SDSS J094202.04+105818.3
145.8874583,33.6995278,SDSS J094332.99+334158.3
146.5604167,58.3271111,SDSS J094614.50+581937.6
148.8656667,3.7546667,SDSS J095527.76+034516.8
151.2159583,54.5678611,SDSS J100451.83+543404.3
151.98775,28.0299722,SDSS J100757.06+280147.9
152.0172083,50.4452222,SDSS J100804.13+502642.8
152.8099167,19.2404722,SDSS J101114.38+191425.7
153.9394167,31.2500556,SDSS J101545.46+311500.2
154.9080833,0.3321389,SDSS J101937.94+001955.7
155.035875,17.8048333,SDSS J102008.61+174817.4
155.8093333,48.5227778,SDSS J102314.24+483122.0
156.5159583,39.09,SDSS J102603.83+390524.0
156.7659583,38.3369444,SDSS J102703.83+382013.0
157.650625,35.9166111,SDSS J103036.15+355459.8
157.8608333,11.8806944,SDSS J103126.60+115250.5
158.2453333,56.7481111,SDSS J103258.88+564453.2
159.6125417,41.8146944,SDSS J103827.01+414852.9
159.8767917,39.7885833,SDSS J103930.43+394718.9
160.1889167,39.9134722,SDSS J104045.34+395448.5
160.2082917,56.25225,SDSS J104049.99+561508.1
160.6390833,36.6629167,SDSS J104233.38+363946.5
162.2303333,31.3292222,SDSS J104855.28+311945.2
162.28025,55.2208056,SDSS J104907.26+551314.9
162.3380417,-0.6680556,SDSS J104921.13-004005.0
162.9474583,55.3856389,SDSS J105147.39+552308.3
163.249875,43.0486111,SDSS J105259.97+430255.0
163.4338333,49.4988611,SDSS J105344.12+492955.9
163.453875,40.3960833,SDSS J105348.93+402345.9
163.9374167,45.4003889,SDSS J105544.98+452401.4
164.261625,56.7508611,SDSS J105702.79+564503.1
164.698625,16.7572222,SDSS J105847.67+164526.0
166.3990833,9.3323056,SDSS J110535.78+091956.3
167.583625,20.7826389,SDSS J111020.07+204657.5
167.6555417,54.19325,SDSS J111037.33+541135.7
168.047375,30.7311944,SDSS J111211.37+304352.3
168.4047083,23.8129167,SDSS J111337.13+234846.5
169.796375,8.2610556,SDSS J111911.13+081539.8
170.232625,17.6483333,SDSS J112055.83+173854.0
170.9680833,44.6265556,SDSS J112352.34+443735.6
171.0132917,47.9708056,SDSS J112403.19+475814.9
171.2391667,17.29575,SDSS J112457.40+171744.7
171.5149583,54.8914167,SDSS J112603.59+545329.1
172.5532917,23.9728056,SDSS J113012.79+235822.1
173.4967917,49.0620556,SDSS J113359.23+490343.4
175.5446667,55.4582222,SDSS J114210.72+552729.6
175.5504583,10.1997222,SDSS J114212.11+101159.0
175.9397083,19.3926111,SDSS J114345.53+192333.4
177.789125,43.9885,SDSS J115109.39+435918.6
178.3495417,30.9846667,SDSS J115323.89+305904.8
178.787375,23.4398333,SDSS J115508.97+232623.4
179.3733333,29.3855833,SDSS J115729.60+292308.1
179.5682083,34.1016389,SDSS J115816.37+340605.9
179.9002083,23.6631944,SDSS J115936.05+233947.5
180.091375,-2.0313056,SDSS J120021.93-020152.7
181.006125,20.2323056,SDSS J120401.47+201356.3
181.105375,3.7529444,SDSS J120425.29+034510.6
181.342875,5.1615,SDSS J120522.29+050941.4
182.43175,-2.0832222,SDSS J120943.62-020459.6
182.7957917,6.1289167,SDSS J121110.99+060744.1
182.808625,6.14275,SDSS J121114.07+060833.9
182.838,14.2442222,SDSS J121121.12+141439.2
183.3872083,7.4213611,SDSS J121332.93+072516.9
183.8299583,47.3617778,SDSS J121519.19+472142.4
183.8924167,13.9430556,SDSS J121534.18+135635.0
183.9325833,17.1548889,SDSS J121543.82+170917.6
184.083125,15.9049167,SDSS J121619.95+155417.7
184.1671667,3.70875,SDSS J121640.12+034231.5
185.484,2.0807778,SDSS J122156.16+020450.8
186.3837083,19.4375556,SDSS J122532.09+192615.2
186.5937083,64.1061111,SDSS J122622.49+640622.0
186.670125,43.0858889,SDSS J122640.83+430509.2
187.8705417,49.2602778,SDSS J123128.93+491537.0
190.39975,16.3426667,SDSS J124135.94+162033.6
190.53075,50.3629444,SDSS J124207.38+502146.6
191.5936667,7.8910833,SDSS J124622.48+075327.9
191.698,54.8875,SDSS J124647.52+545315.0
193.6455417,-2.5701111,SDSS J125434.93-023412.4
194.9721667,57.8638056,SDSS J125953.32+575149.7
195.5149167,-0.83675,SDSS J130203.58-005012.3
195.7029167,47.9196111,SDSS J130248.70+475510.6
196.5801667,11.2276944,SDSS J130619.24+111339.7
197.7226667,-2.4781944,SDSS J131053.44-022841.5
198.8794583,52.9103611,SDSS J131531.07+525437.3
199.0564167,9.5435278,SDSS J131613.54+093236.7
