16YName,4FGLName,1FLATName,16Y_ASSOC1,New/confirmed,WHO-1,Second evaluation,WHO-2,comment,nu_syn,nuFnu_syn,1/2FLATra,1/2FLATdec,4LAC_ASSOC1,4FGL_ASSOC1
FL16Y J0000.0+3145,4FGL J2359.9+3145,1FLAT J235955.3+314600,NVSS J235955+314558,,,,,,16.1,-12.0,359.98042,31.76667,NVSS J235955+314558,
FL16Y J0000.9+2531,4FGL J0000.7+2530,1FLAT J000027.9+252804,,Confirmed 1FLAT,,,,,17.4,-12.3,0.1164016,25.4680553,,
FL16Y J0001.5-4155,4FGL J0001.6-4156,1FLAT J000132.7-415524,2MASS J00013275-4155252,,,,,,16.0,-11.5,0.38624,-41.9234112,2MASS J00013275-4155252,2MASS J00013275-4155252
FL16Y J0002.3-6728,4FGL J0002.1-6728,1FLAT J000215.4-672652,SUMSS J000215-672653,,,,,,16.0,-11.9,0.56422,-67.44797,SUMSS J000215-672653,SUMSS J000215-672653
FL16Y J0003.2-5248,4FGL J0003.1-5248,1FLAT J000319.6-524727,RBS 0006,,,,,,17.0,-11.9,0.8315,-52.79094,RBS 0006,RBS 0006
FL16Y J0008.4-2339,4FGL J0008.4-2339,1FLAT J000835.4-233927,RBS 0016,,,,,,16.4,-11.8,2.14755,-23.65754,RBS 0016,RBS 0016
FL16Y J0009.8+1339,4FGL J0009.8+1340,1FLAT J000957.2+134058,RX J0009.9+1341,,,,,,16.8,-12.3,2.48842,13.68303,RX J0009.9+1341,RX J0009.9+1341
FL16Y J0010.8+4725,,2FLAT J001044.5+472405,,New blazar,P.G.,,,HBL,16.1,-12.4,2.68525,47.40166,,
FL16Y J0013.4+0949,4FGL J0013.4+0950,1FLAT J001328.7+094929,1RXS J001328.4+094942,,,,,,17.3,-11.9,3.36947,9.82486,1RXS J001328.4+094942,1RXS J001328.4+094942
FL16Y J0013.9-1854,4FGL J0013.9-1854,1FLAT J001356.0-185403,RBS 0030,,,,,,17.3,-11.3,3.48333,-18.90108,RBS 0030,RBS 0030
FL16Y J0014.2-5022,4FGL J0014.1-5022,1FLAT J001411.5-502235,RBS 0032,,,,,,16.9,-11.7,3.54798,-50.37649,RBS 0032,RBS 0032
FL16Y J0015.3+3536,4FGL J0015.2+3537,1FLAT J001528.3+353641,RX J0015.4+3536,,,,,,16.1,-12.3,3.86785,35.61166,RX J0015.4+3536,RX J0015.4+3536
