name,ra,dec
PMN J0001-0746,0.325,-7.77408
FBQS J0001-0011,0.3395,-0.19442
TXS 0000-073,0.83672,-7.09871
GB6 J0003+0717,0.84849,7.28737
SDSS J000359.23+084138.1,0.996752,8.694204
,1.14261,-40.00978
,1.56022,-18.2053
MG4 J000800+4712,1.99988,47.20214
NVSS J000825+145635,2.105867,14.943274
,138.37437,-14.2363
NVSS J000922+503028,2.34442,50.50796
,2.47815,28.20728
MG3 J001356+1910,3.48479,19.17833
MS 0011.7+0837,3.58196,8.90119
GB6 J0016+2440,4.01505,24.67076
GB6 J0017+1450,4.40371,14.85053
PMN J0019-8152,4.83776,-81.88057
CRATES J002132.55-255049.3,5.38554,-25.847
NVSS J002142-090044,5.426,-9.01231
87GB 002122.5+154553,6.00525,16.04278
,6.02542,24.07734
,6.26731,-23.41934
PKS 0026-014,7.25413,-1.22825
GB6 J0028+3550,7.21654,35.84335
NVSS J003007-000008,7.53279,-0.002
SUMSS J003210-552228,8.045436,-55.374472
PMN J0035-5726,8.76417,-57.43575
WISE J003719.15+261312.6,9.32983,26.22006
NVSS J003907+433015,9.78405,43.50409
,9.88374,42.0735
PMN J0040-2340,10.10371,-23.66683
,10.30123,-71.98304
TXS 0040+221,10.89046,22.39625
SUMSS J004631-705857,11.63444,-70.98234
1RXS J004836.9-242631,12.15402,-24.44768
CRATES J004901.37+225315.4,12.25571,22.88761
PMN J0049-5402,12.45192,-54.04591
PKS 0048-09,12.67208,-9.48477
PMN J0056-2117,14.13446,-21.28553
CRATES J005630.93-531931.5,14.08876,-53.31312
NVSS J005620-394144,14.08364,-39.69531
87GB 005415.3+404404,14.26756,40.99877
NVSS J010058-005547,15.24242,-0.92983
2MASS J01021713+0944098,15.57109,9.73639
TXS 0100+151,15.85833,15.44019
NVSS J010345+132346,15.94063,13.39595
GB6 J0107+4947,16.84207,49.79668
MG1 J010908+1816,17.28404,18.26875
GB6 J0109+2400,17.31083,24.00961
,17.5434,-4.59286
GB6 J0110+4345,17.75213,43.76109
RX J0111.5-7302,17.88542,-73.03608
,18.1631,-3.4786
S2 0109+22,18.02421,22.74411
FIRST J011408.4+122255,18.5353,12.3822
1RXS J011451.8+262337,18.714298,26.389281
1eRASS J011528.7-291841,18.87066,-29.31231
PMN J0115+0356,18.91875,3.94536
SUMSS J011619-615343,19.08059,-61.89464
CRATES J011804-155118,19.5188,-15.8484
2MASX J01200274+4200139,20.01146,42.00388
PKS 0118-272,20.13192,-27.02353
NVSS J012552+260637,21.47019,26.11021
,21.56753,-63.78536
,22.20113,-46.43322
TXS 0126+343,22.43115,34.61631
SUMSS J013306-441422,23.2765,-44.23928
WISE J013859.14+260015.7,24.74641,26.00437
NVSS J013915-170541,24.81638,-17.09491
WN B0126.6+8722,24.8016,87.6327
,25.84653,7.56469
B3 0143+458,26.61012,46.10506
PKS 0144-522,26.70211,-52.04325
NVSS J014716+154943,26.82016,15.82902
PMN J0148+0129,27.14098,1.48356
WN B0140.0+8546,27.39345,86.02106
PMN J0150-3338,27.58742,-33.64024
,27.60503,48.80277
NVSS J01531-1844,28.28477,-18.73718
