name,ra,dec,major,minor,angle
  IC201209,     6.7676,    -9.3308,    65.1,    61.2,    90.0
  IC170809,    21.1157,    -2.3135,    54.0,    38.1,    90.0
  IC200929,    29.5312,     3.6582,    31.6,    31.4,    90.0
  IC201130,    30.4541,   -12.0843,    69.6,    67.5,    90.0
  IC131014,    33.0029,    10.2003,    46.7,    29.6,    90.0
  IC170922,    77.6294,     5.9044,    56.4,    31.5,    90.0
  IC160104,    79.4531,     4.9493,    55.0,    47.3,     0.0
  IC170321,    98.4595,   -15.1364,    67.2,    64.9,     0.0
  IC140611,   110.6104,    11.4533,    33.6,    11.4,    90.0
  IC190503,   120.1904,     6.3924,    42.8,    39.3,     0.0
  IC160806,   122.6074,    -0.7088,    63.3,    33.6,    90.0
  IC190515,   127.8589,    12.6170,    47.6,    28.7,    90.0
  IC150904,   133.5938,    28.0601,    37.2,    31.7,    90.0
  IC160331,   151.2158,    15.4440,    41.8,    38.1,     0.0
  IC140923,   169.6509,    -1.4923,    46.1,    24.6,    90.0
  IC120523,   170.7056,    26.4858,    55.5,    25.0,    90.0
  IC150926,   194.3262,    -4.4064,    60.5,    47.1,    90.0
  IC121011,   205.1147,    -2.2948,    40.8,    32.5,    90.0
  IC201222,   206.4331,    13.5360,    47.4,    26.5,    90.0
  IC180410,   218.2544,     0.5782,    62.0,    43.6,    90.0
  IC140122,   220.5769,   -86.0931,    37.0,    35.6,     0.0
  IC190214,   228.3838,    -4.1068,    39.4,    20.2,    90.0
  IC120301,   237.9199,    18.7416,    32.5,    29.5,    90.0
  IC151122,   261.9580,    -2.2575,    58.0,    39.2,    90.0
  IC201007,   265.1660,     5.3982,    28.9,    14.6,    90.0
  IC131204,   289.1162,   -14.4799,    62.4,    56.2,     0.0
  IC190124,   307.1338,   -31.8942,    42.4,    38.2,    90.0
  IC190613,   312.1216,    26.5916,    43.8,    38.9,     0.0
  IC150812,   328.2056,     6.1482,    48.5,    30.4,    90.0
  IC120807,   330.0732,     1.4923,    50.1,    31.3,    90.0
  IC171106,   340.1367,     7.4629,    36.6,    16.9,    90.0
  IC140108,   344.6851,     1.5856,    30.3,    21.3,    90.0
  IC130127,   353.1226,    -1.9403,    69.8,    56.0,    90.0
  IC230724,    32.6100,    -1.9200,    29.4,    16.8,    90.0
  IC230707,   269.0900,    -1.9450,    49.2,    32.1,    90.0
  IC221223,   350.5400,    34.7100,    40.2,    33.0,     0.0
  IC220306,   314.8300,     8.5700,    31.4,    30.6,    90.0
  IC220205,   266.8000,    -3.5800,    30.6,    30.5,     0.0
  IC220202,    21.5250,    -3.9900,    56.0,    31.8,    90.0
  IC211117,   225.9300,    -0.2000,    30.6,    30.6,     0.0
  IC210922,    60.8800,    -4.2450,    48.5,    29.1,    90.0
  IC210811,   270.7850,    25.2550,    58.3,    48.9,    90.0
  IC231004,   143.8350,   -25.1300,    67.2,    57.4,     0.0
  IC240929,   180.5900,    18.9250,    36.3,    32.7,    90.0
  IC241006,    58.4100,     8.3400,    52.8,    28.8,    90.0
  IC241113,   196.1700,     8.5400,    48.0,    35.6,     0.0
  IC241127,   164.0600,     5.3950,    33.9,    29.3,     0.0
  IC241224,   185.0050,     2.7600,    40.2,    33.3,     0.0
  IC250101,   318.9650,    -0.9050,    38.1,    27.9,    90.0
  IC250203,   253.3000,    -1.2900,    29.4,    27.6,    90.0
  IC250302,   348.0250,     3.7750,    24.9,    24.2,     0.0
  IC250309,   211.0750,   -10.7500,    18.0,    16.8,    90.0
  IC250330,   307.5800,    11.0600,    30.6,    27.6,    90.0
  IC250406,    81.4750,    16.9200,    30.7,    27.6,    90.0
  IC250429,    59.6300,    25.2950,    28.2,    24.9,    90.0
  IC250506,   116.5100,    35.3450,    28.4,    27.3,    90.0
  IC250706,   265.9900,    38.9800,    28.8,    27.1,     0.0
  IC250708,   222.7000,    26.4900,    28.5,    28.2,    90.0
  IC250804,    79.4950,    16.6700,    29.6,    28.2,    90.0
  IC250813,   275.3100,     8.2900,    52.8,    46.2,    90.0
  IC250905,   348.2300,    38.8300,    49.2,    47.2,     0.0
  IC250926,   130.9650,     9.8900,    37.8,    35.2,     0.0
  IC251025,   145.6300,    15.0750,    51.0,    38.1,    90.0
  IC251130,   229.7050,    -5.5400,    35.4,    31.4,     0.0
  IC251210,    35.2850,    20.3050,    40.5,    38.5,     0.0
  IC251218,   353.6800,    44.1550,    35.3,    27.3,    90.0
  IC260217,    75.8700,    14.6400,    31.3,    26.4,    90.0
  IC260315,   175.7050,    -1.8900,    31.2,    28.5,     0.0
  IC260425,   347.0750,    19.2050,    36.9,    32.6,     0.0
