name,ra,dec 
PGC 0001781,7.2853,15.8991
PGC 0003232,13.6992,13.6583
PGC 0004416,18.4149,0.8752
PGC 0004647,19.3771,-9.2967
PGC 0005220,21.2027,1.0364
PGC 0005366,21.6227,0.5487
PGC 0006504,26.6583,-8.6789
PGC 0007654,30.2296,-8.8408
PGC 0007998,31.4546,-9.8217
PGC 0008302,32.5943,1.201
PGC 0009406,37.0779,-0.6069
PGC 0009530,37.5717,0.9378
PGC 0010117,40.0973,1.2287
PGC 0010213,40.4579,-7.925
PGC 0021073,112.0727,40.7686
PGC 0021517,114.9799,39.0412
PGC 0021585,115.3582,40.1111
PGC 0021600,115.4799,16.8033
PGC 0022305,119.3584,35.9396
PGC 0023769,127.1185,41.8567
PGC 0024374,130.0609,5.6353
PGC 0024865,132.7548,24.3194
PGC 0025185,134.4765,59.0827
PGC 0025232,134.7512,39.2099
PGC 0025284,135.0664,35.7201
PGC 0025521,136.4044,45.3221
PGC 0026142,139.0138,52.8415
PGC 0026351,139.894,51.1087
PGC 0026485,140.3764,64.239
PGC 0027091,143.1529,51.8722
PGC 0027784,145.7279,9.4836
PGC 0027785,145.7462,33.2667
PGC 0027875,146.0301,-0.6583
PGC 0027935,146.2675,32.2384
PGC 0028305,147.5458,28.0131
PGC 0028317,147.5934,31.4879
PGC 0028370,147.7926,33.131
PGC 0028378,147.8209,7.8287
PGC 0028408,147.9329,1.4461
PGC 0028463,148.1725,-0.1846
PGC 0028714,149.1917,28.8261
PGC 0028757,149.3837,69.0461
PGC 0028789,149.5048,47.3243
PGC 0028868,149.8602,30.7464
PGC 0028913,150.0002,5.3323
PGC 0029043,150.45,36.4989
PGC 0029229,151.1746,55.3111
PGC 0029468,152.0323,29.542
PGC 0029595,152.5567,58.4889
PGC 0030042,154.2993,4.3308
PGC 0030187,154.9255,52.0645
PGC 0030832,157.1594,3.5606
PGC 0031032,157.7973,34.5029
PGC 0031427,159.0532,13.4492
PGC 0031477,159.1814,31.5464
PGC 0031693,159.8552,1.7181
PGC 0032048,161.1256,60.3682
PGC 0032103,161.3434,55.9601
PGC 0032343,162.2235,46.7221
