name,ra,dec
TXS 2358+209,0.38472,21.22689
PKS 0000-160,0.8635,-15.78508
MG4 J000421+4615,1.06738,46.25506
PKS 0003-56,1.4912402,-56.4751628
PMN J0008-3945,2.03808,-39.7562
PKS 0008-307,2.64821,-30.46317
PKS 0011-046,3.47546,-4.39781
GALEXASC J001420.46-045929.1,3.58522,-4.99124
S3 0013-00,4.04634,-0.25374
,3.91654,17.01139
4C +25.01,4.915931,26.048087
PKS 0017+200,4.90767,20.36272
S5 0016+73,4.94071,73.45842
AT20G J002343-593032,5.92934,-59.50902
B3 0020+446,5.89767,44.94328
PMN J0026-3512,6.56826,-35.21346
1eRASS J002536.6-483808,6.40387,-48.636
,6.35892,39.3265
TXS 0025+197,7.12425,20.00742
PKS 0027-426,7.57218,-42.41253
PKS B0027-024,7.63258,-2.19894
CRATES J003659.39+183203.7,9.24754,18.53436
TXS 0033+142,9.14629,14.56767
PKS 0035-252,9.56082,-24.98406
TXS 0036-099,9.77617,-9.713
,9.89075,-60.76038
PKS 0039+230,10.51896,23.33369
PKS 0042-373,11.29951,-37.09704
PKS 0047-579,12.49595,-57.64081
PKS 0048-071,12.78417,-6.83386
PKS 0048-427,12.7895,-42.44244
TXS 0052-201,13.63716,-19.88361
TXS 0052-125,13.79908,-12.29917
,13.95152,-61.39395
PKS 0055-059,14.52023,-5.66549
MG3 J005830+3311,14.63354,33.18817
PKS 0056-00,14.77307,0.11444
PKS 0101-804,15.55992,-80.21139
PKS 0102-245,16.2425,-24.27433
4C +01.02,17.16263,1.5842
PKS 0110-668,18.07771,-66.57844
UGC 773,18.43054,2.37082
PKS 0112-017,18.82125,-1.45128
PKS 0113-310,18.94342,-30.82197
PKS 0113-118,19.052175,-11.604287
WISEA J011725.20+141812.4,19.355,14.30333
AT20G J011844-085058,19.6841,-8.8496
,20.759521,30.7353
PKS 0122-005,21.37021,-0.09886
PKS 0131-522,23.27298,-52.00127
WISEA J013416.90-425826.2,23.57016,-42.97369
PKS 0135-247,24.41075,-24.51401
B2 0135+291,24.64718,29.36795
PMN J0143-3623,25.78667,-36.38308
PKS 0142-278,26.2648,-27.55955
TXS 0143+230,26.47046,23.32203
PKS 0150-14,28.13342,-14.2108
PKS 0153-663,28.62945,-66.07078
PMN J0156-1800,29.15312,-18.01722
PMN J0157-4614,29.462989,-46.239805
PMN J0201-6638,30.28135,-66.63677
,31.14775,-19.14702
4C +15.05,31.21,15.23639
PKS 0202-17,31.24006,-17.02244
GB6 B0202+1430,31.30466,14.74235
B2 0202+31,31.269,32.20829
S5 0205+722,32.46575,72.49075
PKS 0207-149,32.59658,-14.74972
PKS 0208-512,32.69246,-51.01719
PKS 0212-620,33.56752,-61.82602
TXS 0213+051,33.97922,5.4071
S5 0212+73,34.37833,73.82572
MG3 J021846+3641,34.70832,36.67836
B2 0218+357,35.27275,35.93714
PKS 0219-164,35.50291,-16.25457
PKS 0220-349,35.735,-34.69131
PMN J0223-0925,35.91974,-9.4225
PMN J0225-2603,36.29535,-26.05511
B2 0224+39,36.78042,39.52781
PKS 0227-369,37.36834,-36.73234
4C +13.14,37.94157,13.38167
PKS 0229-398,37.96594,-39.59612
PKS 0235-618,39.22186,-61.60422
4C +28.07,39.46833,28.8025
PKS 0235+164,39.66218,16.61645
OD 166,40.6215,11.01686
B2 0242+23,41.32025,24.09311
PKS 0244-470,41.50049,-46.85479
PKS 0246-355,42.25925,-35.28708
PKS 0250-602,42.85929,-60.00175
PKS 0250-225,43.20024,-22.32413
B2 0249+38,43.28704,38.59028
MG3 J025334+3217,43.39029,32.28918
PKS 0253-754,43.29449,-75.22128
PMN J0257-1211,44.41989,-12.19955
PKS 0301-721,45.41021,-71.94289
PKS 0302-623,45.96096,-62.19043
4C +33.06,46.17226,33.81211
PKS 0306+102,47.26504,10.48786
PKS 0308-611,47.48371,-60.97753
TXS 0310+022,48.30588,2.47647
PKS 0313-107,48.98584,-10.52756
PKS 0323-244,51.30559,-24.26335
TXS 0322+222,51.40338,22.40011
PKS 0325-222,51.99963,-22.03492
B2 0326+34,52.31398,35.16833
PMN J0332-1734,53.08421,-17.58158
PKS 0334-131,54.14604,-13.03439
PKS 0335-364,54.2251,-36.2684
PKS 0335-122,54.48105,-12.06792
PKS 0336-01,54.8788,-1.77647
WISEA J034217.80+131943.5,55.57415,13.32872
PKS 0341-256,55.8314,-25.50516
PKS 0346-27,57.15894,-27.82043
TXS 0346+241,57.47655,24.36084
PKS 0347-211,57.49094,-21.0466
PKS 0348-326,57.6807,-32.54973
S5 0346+80,58.69314,80.1576
MG3 J035721+2319,59.34003,23.33162
PKS 0400-319,60.58861,-31.79054
,60.77247,26.00087
PKS 0403-13,61.39247,-13.13684
PKS 0405-385,61.74539,-38.44078
PKS 0414-189,64.1525,-18.85235
PKS 0420+022,65.71753,2.32419
PKS 0420-01,65.81551,-1.34265
PKS 0423+051,66.65155,5.30566
PMN J0427-3900,66.84027,-39.01669
PMN J0428-5005,67.17737,-50.09322
PKS 0427-435,67.35433,-43.47682
TXS 0429+174,67.98908,17.5266
PKS 0432-606,68.39272,-60.50383
PMN J0434-2514,68.58575,-25.24256
PKS 0435-587,69.17963,-58.66967
PKS 0436-129,69.6458,-12.8514
PKS 0437-454,69.7535,-45.37292
PKS 0438-43,70.07161,-43.5524
TXS 0437+145,70.08804,14.6325
PKS 0440-00,70.66131,-0.29524
,71.26771,16.46379
AT20G J044817-210944,72.0724,-21.1624
PKS 0446+11,72.28196,11.35794
S4 0444+63,72.34708,63.53594
PMN J0450-4418,72.50849,-44.30571
PKS 0450-469,72.97222,-46.8887
PKS 0451-28,73.311,-28.12703
PKS 0451-126,73.42047,-12.56582
S3 0458-02,75.30338,-1.98731
PKS 0459+060,75.5643,6.1525
PKS 0503-608,76.00773,-60.83128
PKS 0502+049,76.34671,4.99521
S3 0503-04,76.46346,-4.32406
PMN J0507-6104,76.97779,-61.07864
PKS 0506+101,77.36442,10.19572
,79.3502,-17.9399
TXS 0516+087,79.79505,8.81576
NGC 1904,81.27715,-23.63624
PKS 0524-485,81.56946,-48.51022
,81.69604,12.02053
PKS 0528+134,82.73507,13.53199
CGRABS J0532-3848,83.00821,-38.81543
OG 050,83.16249,7.54537
PMN J0533-5549,83.35009,-55.82645
,83.57286,-37.79044
CRATES J053408+085440,83.53507,8.91409
PKS 0534-340,84.11846,-34.01986
PKS 0537-286,84.97617,-28.66554
,85.42504,2.99089
PKS 0542-735,85.45954,-73.53728
PKS 0539-057,85.40937,-5.69714
PMN J0542-0913,85.7332,-9.22315
S5 0532+82,85.91426,82.64174
PMN J0553-0840,88.4245,-8.6672
,88.88467,-10.03525
GB6 J0555+0304,88.753996,3.073544
SUMSS J055734-495704,89.3926,-49.95116
PKS 0558-396,90.13017,-39.61784
PKS 0601-70,90.29449,-70.60146
PMN J0601-2004,90.47011,-20.07923
S4 0600+44,91.14846,44.23292
PKS 0605-08,91.99875,-8.58056
PMN J0608-1520,92.00633,-15.34361
PKS 0606-223,92.24871,-22.33914
PKS 0607-549,92.20381,-54.94562
PKS 0609-609,92.62623,-60.97716
PMN J0611-2709,92.94118,-27.14594
TXS 0616-116,94.76704,-11.68192
PKS 0618-252,95.13346,-25.25467
PMN J0623-3350,95.91627,-33.83743
PMN J0625-5438,96.46763,-54.64742
PKS 0628-627,97.2395,-62.81242
PMN J0633-2223,98.3615,-22.38964
PMN J0634-2335,98.74543,-23.58651
GB6 J0636+7138,99.17847,71.64533
S5 0633+73,99.83828,73.41603
B2 0635+35,99.78996,35.10625
B2 0641+39,101.22375,39.24653
PMN J0647-6058,101.92108,-60.96808
,102.02033,45.11607
PKS 0646-306,102.05875,-30.73881
B3 0650+453,103.59875,45.23986
GB6 J0654+5042,103.592,50.70664
B2 0654+24,104.27367,24.39872
PMN J0658-5840,104.55742,-58.67433
TXS 0657-276,104.95807,-27.75488
PKS 0700-465,105.39394,-46.57684
S4 0707+47,107.6921037,47.53642851
CGRABS J0716-6240,109.76756,-62.30175
S4 0714+45,109.46559,45.63481
,109.67696,46.32675
4C +14.23,111.32,14.42047
PMN J0726-4728,111.60929,-47.4815
,111.55944,21.88893
PKS 0726-476,112.097685,-47.754904
GB6 J0733+0456,113.48938,4.93733
TXS 0730+504,113.46885,50.36891
PKS 0738-674,114.73542,-67.59744
PKS 0736+01,114.82513,1.61794
PMN J0742-5241,115.68462,-52.68606
PMN J0743-5619,115.83529,-56.32583
PKS 0743-006,116.47529,-0.73819
OI 272,116.6683,27.58327
6C 074318+742809,117.3432,74.34491
MG2 J075000+3107,117.49171,31.13217
OI 380,117.97474,33.22294
TXS 0751+095,118.4667,9.40629
TXS 0755+117,119.53158,11.61279
GB6 J0801+6639,120.40158,66.65275
PKS B0802-010,121.3032,-1.18648
TXS 0800+618,121.32558,61.74
B3 0803+452,121.63959,45.0745
CRATES J080736.06-120745.9,121.90003,-12.12886
OJ 508,122.1653,49.84309
,122.23649,40.87915
87GB 080551.6+535010,122.42379,53.69031
GB6 J0812+1141,123.10838,11.69961
5C 07.018,123.26596,25.70311
PMN J0821-5800,125.3355,-58.00542
B2 0821+24,126.13762,24.64518
OJ 535,126.19636,55.87786
PKS 0834-20,129.16333,-20.28322
MG2 J083615+2138,129.06758,21.651
OJ 259,129.41767,24.90636
PKS 0837+012,129.95699,1.07353
3C 207,130.19829,13.20653
4C +71.07,130.35112,70.89578
PKS 0845-051,131.99475,-5.34272
,132.03162,-66.54929
B2 0849+28,133.02146,28.56656
3HSP J085315.9+072229,133.31666,7.37416
,134.54706,66.15308
S4 0859+47,135.76663,46.85114
4C +42.28,136.06423,42.63464
TXS 0907+230,137.67556,22.80988
B3 0908+416B,138.04833,41.43592
1RXS J091237.6-27562,138.13124,-27.87141
9C J0919+3324,139.7866,33.4117
,140.12337,-4.65992
S4 0917+44,140.24371,44.69726
OK 630,140.40097,62.26405
,140.8102206,38.8277528
PKS 0926-306,142.14181,-30.82954
PKS 0926-344,142.2512,-34.7155
NVSS J093033+513216,142.63861,51.53702
PKS 0928+008,142.7169,0.58227
S4 0929+53,143.17152,53.10942
87GB 093051.5+000203,143.34596,-0.181
TXS 0936-173,144.82978,-17.52661
