ra,dec,name
31.40801,64.82815,3C g58  SN1181
69.31623,-47.25253,PSRJ0437-4715
83.63322,22.01446,Crab g SN1054
84.44757,-69.17219,N g157B  30 Dor B
85.04667,-69.33171,N158A g B0540-69
98.47564,17.77025,Geminga
128.83588,-45.17635,Vela gX
137.14804,-49.21847,B0906-49
154.08817,-58.95336,3EG gJ1013-5915
162.05083,-58.53494,B1046-58 g puppy
169.80958,-61.46375,PSRJ1119-6127
171.1625,-59.27194,MSH g11-54
205.42762,-62.33908,PSRJ1341-6220
215.03432,-60.80456,Kookaburra
228.48175,-59.13583,B1509-58 g MSH 15-52  Dragon
251.71375,-43.77722,B1643-43
257.42803,-44.48562,B1706-44
266.81618,-29.96694,Mouse
270.25007,-24.85764,G5.4-1.2? g Duck  B1757-24
272.87167,-19.42444,SN g386  Turtle
276.5549,-13.57967,B1823-13 g Turkey
278.38988,-10.56875,PSRJ1833-1034
281.60392,-2.97503,Kes g75
284.04438,1.22258,W44 g 3C 392
292.62554,18.87058,PSRJ1930+1852
293.05812,10.99234,B1929+10
298.24252,32.87792,CTB g80
299.90321,20.8042,B1957+20 g Black Widow
305.27275,36.85133,GeV gJ2020+3658 Cisne
321.18271,-33.97912,PSRJ2124-3358
336.46967,65.59322,B2224+65 g Guitar
337.272,61.23592,3EG gJ2227+6122
