name,ra,dec
SNR G299.2-02.9,183.80417,-65.5
SNR G312.5-03.0,215.25,-64.2
SNR G301.4-01.0,189.47917,-63.81667
SNR G308.4-01.4,205.375,-63.73333
SNR G306.3-00.9,200.45833,-63.56667
SNR G310.6-01.6,210.1875,-63.43333
SNR G299.6-00.5,185.4375,-63.15
SNR G296.7-00.9,178.875,-63.13333
SNR G308.1-00.7,204.40417,-63.06667
SNR G309.2-00.6,206.62917,-62.9
SNR G298.5-00.3,183.16667,-62.86667
SNR G304.6+00.1,196.49583,-62.7
SNR G298.6-00.0,183.42083,-62.61667
SNR G296.8-00.3,179.625,-62.58333
SNR G296.1-00.5,177.79167,-62.56667
SNR G315.4-02.3,220.75,-62.5
SNR G308.8-00.1,205.625,-62.38333
SNR G310.8-00.4,210,-62.28333
SNR G310.6-00.3,209.5,-62.15
SNR G302.3+00.7,191.47917,-62.13333
SNR G309.8+00.0,207.625,-62.08333
SNR G311.5-00.3,211.40833,-61.96667
SNR G312.4-00.4,213.25,-61.73333
SNR G294.1-00.0,174.04167,-61.63333
SNR G292.2-00.5,169.83333,-61.46667
SNR G290.1-00.8,165.77083,-60.93333
SNR G293.8+00.6,173.75,-60.9
SNR G291.0-00.1,167.975,-60.63333
SNR G315.4-00.3,218.97917,-60.6
SNR G289.7-00.3,165.3125,-60.3
SNR G315.9-00.0,219.60417,-60.18333
SNR G316.3-00.0,220.375,-60
SNR G317.3-00.2,222.41667,-59.76667
SNR G286.5-01.2,158.91667,-59.7
SNR G292.0+01.8,171.15,-59.26667
SNR G320.6-01.6,229.45833,-59.26667
SNR G320.4-01.2,228.625,-59.13333
SNR G318.2+00.1,223.70833,-59.06667
SNR G284.3-01.8,154.5625,-59
SNR G318.9+00.4,224.625,-58.48333
SNR G321.9-01.1,230.9375,-58.21667
SNR G315.1+02.7,216.125,-57.83333
SNR G321.9-00.3,230.16667,-57.56667
SNR G322.1+00.0,230.20417,-57.16667
SNR G322.5-00.1,230.84583,-57.1
SNR G323.5+00.1,232.175,-56.35
SNR G326.3-01.8,238.25,-56.16667
SNR G327.1-01.1,238.60417,-55.15
SNR G332.5-05.6,250.83333,-54.5
SNR G327.2-00.1,237.72917,-54.3
SNR G327.4+00.4,237.08333,-53.81667
SNR G327.4+01.0,236.7,-53.33333
SNR G328.4+00.2,238.875,-53.28333
SNR G279.0+01.1,149.41667,-53.25
SNR G296.5+10.0,182.41667,-52.41667
SNR G329.7+00.4,240.33333,-52.3
SNR G272.2-03.2,136.70833,-52.11667
SNR G330.2+01.0,240.275,-51.56667
SNR G332.4-00.4,244.3875,-51.03333
SNR G332.0+00.2,243.32083,-50.88333
SNR G332.4+00.1,243.83333,-50.7
SNR G335.2+00.1,246.9375,-48.78333
SNR G337.2-00.7,249.86667,-47.85
SNR G337.0-00.1,248.9875,-47.6
SNR G337.2+00.1,248.97917,-47.33333
SNR G336.7+00.5,248.04583,-47.31667
SNR G337.8-00.1,249.75417,-46.98333
SNR G337.3+01.0,248.1625,-46.6
SNR G338.3-00.0,250.25,-46.56667
SNR G343.0-06.0,261.25,-46.5
SNR G338.1+00.4,249.49583,-46.4
SNR G266.2-01.2,133,-46.33333
SNR G338.5+00.1,250.2875,-46.31667
SNR G263.9-03.3,128.5,-45.83333
SNR G340.4+00.4,251.62917,-44.65
SNR G340.6+00.3,251.92083,-44.56667
SNR G343.1-02.3,257,-44.26667
SNR G341.9-00.3,253.75417,-44.01667
SNR G342.0-00.2,253.70833,-43.88333
SNR G341.2+00.9,251.89583,-43.78333
SNR G343.1-00.7,255.10417,-43.23333
SNR G342.1+00.9,252.67917,-43.06667
SNR G260.4-03.4,125.54167,-43
SNR G327.6+14.6,225.70833,-41.93333
SNR G344.7-00.1,255.9625,-41.7
SNR G345.7-00.2,256.83333,-40.88333
SNR G346.6-00.2,257.57917,-40.18333
SNR G330.0+15.0,227.5,-40
SNR G347.3-00.5,258.45833,-39.75
SNR G351.0-05.4,266.5,-39.41667
SNR G261.9+05.5,136.08333,-38.7
SNR G348.5+00.1,258.525,-38.53333
SNR G350.0-02.0,261.95833,-38.53333
SNR G348.5-00.0,258.85833,-38.46667
SNR G348.7+00.3,258.47917,-38.18333
SNR G349.2-00.1,259.3125,-38.06667
SNR G350.1-00.3,260.27083,-37.45
SNR G349.7+00.2,259.49583,-37.43333
SNR G351.9-00.9,262.21667,-36.26667
SNR G351.2+00.1,260.6125,-36.18333
SNR G351.7+00.8,260.25,-35.45
SNR G353.9-02.0,264.72917,-35.18333
SNR G352.7-00.1,261.91667,-35.11667
SNR G353.6-00.7,263,-34.73333
SNR G354.1+00.1,262.61667,-33.76667
SNR G355.9-02.5,266.47083,-33.71667
SNR G354.8-00.8,264,-33.7
SNR G356.3-01.5,265.64583,-32.86667
SNR G355.6-00.0,263.81667,-32.63333
SNR G355.4+00.7,262.83333,-32.43333
SNR G356.3-00.3,264.48333,-32.26667
SNR G357.7-00.1,265.12083,-30.96667
SNR G357.7+00.3,264.64583,-30.73333
SNR G358.5-00.9,266.54167,-30.66667
SNR G359.0-00.9,266.70833,-30.26667
SNR G358.1+01.0,264.25,-29.98333
SNR G359.1-00.5,266.375,-29.95
SNR G356.2+04.5,259.75,-29.66667
SNR G359.1+00.9,264.9,-29.18333
SNR G000.0+00.0,266.43333,-29
SNR G000.3+00.0,266.5625,-28.63333
SNR G358.0+03.8,261.5,-28.6
SNR G000.9+00.1,266.8375,-28.15
SNR G001.0-00.1,267.125,-28.15
