name,ra,dec
SY1 J0002+0322,0.610042,3.351944
SY1 J0006+2013,1.581375,20.202944
SY1 J0025-1859,6.426417,-19.002806
SY1 J0033+6122,8.326417,61.462000
SY1 J0036+4538,9.087208,45.664917
SY1 J0047+1442,11.830750,14.703528
SY1 J0051+1726,12.978125,17.432944
SY1 J0054+2526,13.717125,25.427528
SY1 J0059+3150,14.971958,31.827000
SY1 J0101-0308,15.351583,-3.144417
SY1 J0105-1416,16.411625,-14.270389
SY1 J0111-1616,17.809417,-16.265056
SY1 J0113-1450,18.458625,-14.845583
SY1 J0113+1314,18.462625,13.271750
SY1 J0121-2820,20.464583,-28.349361
SY1 J0123-5848,20.940667,-58.805750
SY1 J0127+1911,21.885458,19.178833
SY1 J0128-1847,22.027958,-18.808583
SY1 J0134-0430,23.690083,-4.503583
SY1 J0151-3611,27.924375,-36.187806
SY1 J0155+0228,28.853917,2.471278
SY1 J0206+0017,31.566542,-0.291417
SY1 J0207+2930,31.759125,29.512806
SY1 J0214+0044,33.639750,-0.766639
SY1 J0226-2820,36.607083,-28.349639
SY1 J0228+3119,37.060250,31.311556
SY1 J0230-0859,37.523000,-8.998083
SY1 J0233+2758,38.343125,27.937056
SY1 J0234-0847,38.657583,-8.787750
SY1 J0238-5212,39.582083,-52.192278
SY1 J0238-4039,39.704042,-40.643861
SY1 J0300+1629,45.033333,16.504028
SY1 J0311-2046,47.828333,-20.771667
SY1 J0330+0537,52.717375,5.640444
SY1 J0333+3718,53.328250,37.303111
SY1 J0333-3608,53.401667,-36.140139
SY1 J0334-1515,53.602000,-15.227667
SY1 J0342-2114,55.515458,-21.244250
SY1 J0345-3935,56.302125,-39.574778
SY1 J0351-4029,57.923708,-40.466444
SY1 J0354+0250,58.539417,2.825194
SY1 J0405-3711,61.256958,-37.187472
SY1 J0414-0755,63.719375,-7.927667
SY1 J0419-5455,65.001583,-54.937944
SY1 J0427+0716,66.767792,7.275444
SY1 J0430-5336,67.666708,-53.615444
SY1 J0436-1021,69.092875,-10.376056
SY1 J0438-1048,69.559083,-10.795806
SY1 J0441-2708,70.343833,-27.138694
SY1 J0516+0009,79.047500,-0.149750
SY1 J0516-1033,79.088375,-10.561472
SY1 J0524-1211,81.028750,-12.169111
SY1 J0605-2754,91.454000,-27.911139
SY1 J0609-5606,92.322792,-56.116222
SY1 J0640-2553,100.048708,-25.895278
SY1 J0652+7425,103.051250,74.427000
SY1 J0659+5412,104.908708,54.196556
SY1 J0707+6435,106.804542,64.599722
SY1 J0726+3700,111.647250,37.000778
SY1 J0742+4948,115.636708,49.809694
SY1 J1074+6056,116.871125,60.933556
SY1 J0755+3911,118.855375,39.186111
SY1 J0759-3843,119.924250,-38.732222
SY1 J0759+2323,119.972708,23.390111
SY1 J0803+0841,120.864083,8.697861
SY1 J0804+0506,121.024375,5.113833
SY1 J0814+0421,123.605542,4.342472
SY1 J0823+4215,125.784500,42.255833
SY1 J0832+3707,128.105625,37.126750
SY1 J0845+1420,131.327125,14.342806
SY1 J0845-3530,131.339042,-35.506722
SY1 J0846+2522,131.725417,25.370083
SY1 J0847+3446,131.926833,34.751250
SY1 J0855+0049,133.976125,0.853056
SY1 J0904+5536,136.153958,55.600750
SY1 J0918+1618,139.608333,16.305500
SY1 J0919+5521,139.980583,55.360333
SY1 J0923+2254,140.929125,22.909083
SY1 J0925+5217,141.303542,52.286250
SY1 J0925+6927,141.448083,69.464861
SY1 J0926+1244,141.513625,12.734417
SY1 J0927+2301,141.827125,23.020139
SY1 J0935+2617,143.862875,26.286028
SY1 J0945-1419,146.424792,-14.326250
SY1 J0947-3056,146.917250,-30.948861
SY1 J0952-0648,147.979292,-6.822861
SY1 J0959+1302,149.982708,13.043861
SY1 J1001+2847,150.456333,28.785833
SY1 J1019+6358,154.802292,63.967417
SY1 J1019-0316,154.886917,-3.337389
SY1 J1021-0325,155.417708,-3.453778
SY1 J1023+1951,155.877417,19.865111
SY1 J1029+1408,157.357250,14.139861
SY1 J1100+1102,165.257417,11.046917
SY1 J1103+3730,165.917792,37.490361
SY1 J1106+7234,166.697833,72.568722
SY1 J1113+0932,168.457375,9.586306
SY1 J1117+4412,169.276667,44.225944
SY1 J1119+5133,169.908417,51.554333
SY1 J1125+5423,171.400625,54.382556
SY1 J1126+3513,171.702208,35.250694
SY1 J1131+6851,172.769875,68.864722
SY1 J1136+2135,174.122208,21.596139
SY1 J1139-3744,174.757167,-37.738583
SY1 J1139+5911,174.787333,59.198556
SY1 J1139+3156,174.927167,31.909444
SY1 J1141+2155,175.317375,21.939361
SY1 J1142+1016,175.546208,10.277861
SY1 J1144+3652,176.124500,36.885750
SY1 J1145+7940,176.316417,79.681500
SY1 J1145-1827,176.418625,-18.454111
SY1 J1147+0902,176.979500,9.041361
SY1 J1149-0416,177.327833,-4.280750
SY1 J1152-1122,178.014792,-11.373333
SY1 J1157+5527,179.483958,55.453611
SY1 J1201-0340,180.309833,-3.678028
SY1 J1203+4431,180.790042,44.531306
SY1 J1204+2755,181.175500,27.903306
SY1 J1204+3110,181.180500,31.177306
SY1 J1205+4959,181.483417,49.998972
SY1 J1210+3924,182.635750,39.405889
SY1 J1210+3820,182.684500,38.336194
SY1 J1215+5048,184.029583,50.825028
SY1 J1217+0711,184.291208,7.191639
SY1 J1218+4718,184.739583,47.304028
SY1 J1221+7518,185.433750,75.310639
SY1 J1223+0241,185.850625,2.679056
SY1 J1225+3331,186.453667,33.546889
SY1 J1232+2009,188.015125,20.158222
SY1 J1237+1149,189.431417,11.818194
SY1 J1239-0520,189.914375,-5.344139
SY1 J1240+2733,190.193292,27.564944
SY1 J1240-3333,190.195708,-33.569944
SY1 J1241-5750,190.357333,-57.834278
SY1 J1241+3501,190.435625,35.062806
SY1 J1247-5830,191.991250,-58.500083
SY1 J1303-1340,195.842625,-13.692528
SY1 J1303+5347,195.997958,53.791639
SY1 J1314-1258,198.788958,-12.989083
SY1 J1316-7155,199.226292,-71.924167
SY1 J1317-0215,199.264250,-2.261278
SY1 J1331-2525,202.807625,-25.402722
