name,ra,dec 
PGC 0000635,2.1429,-10.9494
PGC 0000670,2.3318,0.599
PGC 0001224,4.712,-10.3769
PGC 0001237,4.7849,15.7493
PGC 0001747,7.0858,-0.2182
PGC 0001805,7.3874,-1.0959
PGC 0001841,7.5292,-11.1133
PGC 0001909,7.8054,-10.4808
PGC 0001932,7.8987,-10.5061
PGC 0002035,8.5092,-9.7064
PGC 0002391,9.8992,-9.1944
PGC 0002597,10.8663,-0.1255
PGC 0002600,10.8852,14.3424
PGC 0002768,11.831,14.7032
PGC 0002800,11.9433,-9.8347
PGC 0003140,13.3742,-8.7678
PGC 0003584,15.0162,-11.0822
PGC 0003620,15.1904,-9.1856
PGC 0003960,16.8096,13.9553
PGC 0004116,17.342,14.3424
PGC 0004124,17.3705,14.363
PGC 0004812,20.0643,-0.3361
PGC 0004906,20.3196,-0.5445
PGC 0004992,20.5997,-0.8754
PGC 0005270,21.3487,14.52
PGC 0005645,22.7428,14.1082
PGC 0005830,23.5104,-1.0772
PGC 0005932,23.9625,-10.0028
PGC 0005939,24.0005,0.6636
PGC 0006005,24.3377,14.4628
PGC 0006318,25.7572,13.6434
PGC 0006671,27.2946,-10.4263
PGC 0006826,27.7658,-9.7022
PGC 0006832,27.7825,-9.7914
PGC 0006982,28.2487,12.7078
PGC 0007114,28.7486,13.4829
PGC 0007210,28.9636,-9.9671
PGC 0007328,29.2725,-0.4689
PGC 0007366,29.3767,-9.4622
PGC 0007740,30.5494,-0.1304
PGC 0007741,30.5515,-0.1008
PGC 0007979,31.4182,-0.695
PGC 0008165,32.1043,14.3494
PGC 0008232,32.3679,-9.6803
PGC 0008439,33.0821,-0.8114
PGC 0008502,33.3145,-7.6629
PGC 0008876,34.9216,-0.2558
PGC 0009549,37.639,-1.1085
PGC 0009643,37.9983,0.91
PGC 0009817,38.6574,-8.7876
PGC 0009822,38.7012,-7.6833
PGC 0009894,39.0986,0.7083
PGC 0010065,39.8704,-8.1311
PGC 0010108,40.0672,-8.777
PGC 0010140,40.1571,-8.5336
PGC 0010208,40.4387,0.4423
PGC 0010249,40.5979,-9.3625
PGC 0010290,40.7824,-8.7737
PGC 0010464,41.5,-7.5769
