name,ra,dec
Abell 428,48.974948,-19.087298
Abell 2369,325.76467,-18.594646
Abell 2365,325.76467,-18.594646
Abell 551,88.751548,-17.73397
Abell 462,56.893476,-17.720369
Abell 2480,341.446254,-17.630165
Abell 2478,341.446254,-17.630165
Abell 2462,339.62867,-17.499826
Abell 1644,194.204295,-17.369192
Abell 472,61.118007,-17.363748
Abell 473,61.118007,-17.363748
Abell 2462,339.794805,-17.344541
Abell 2462,339.399281,-17.209667
Abell 503,70.252695,-17.035744
Abell 2557,348.105935,-16.97454
Abell 2332,314.905176,-16.90854
Abell 474,62.22215,-16.666509
Abell 474,61.921654,-16.638
Abell 11,3.142859,-16.39051
Abell 2382,327.988558,-15.622841
Abell 1631,193.192084,-15.329212
Abell 2519,345.051952,-15.108905
Abell 2391,328.548796,-15.037782
Abell 2354,323.916337,-14.904853
Abell 151,17.491087,-14.888432
Abell 2361,324.964363,-14.339086
Abell 2362,324.964363,-14.339086
Abell 157,17.805309,-14.335554
Abell 2455,338.923202,-13.681335
Abell 2559,348.326188,-13.676818
Abell 496,68.820947,-13.435588
Abell 496,68.550774,-13.233532
Abell 148,16.831448,-13.220281
Abell 2569,349.638644,-13.060563
Abell 2569,349.46082,-12.950725
Abell 2569,349.400882,-12.945503
Abell 45,7.528803,-12.290714
Abell 30,6.758374,-12.290547
Abell 423,47.914911,-12.213141
Abell 2345,321.738931,-12.160456
Abell 2597,351.435899,-12.144079
Abell 780,139.517257,-12.133863
Abell 2597,351.329327,-12.123604
Abell 2597,351.33721,-12.091376
Abell 415,46.737879,-12.08951
Abell 1754,203.01308,-11.698273
Abell 1836,210.419884,-11.604241
Abell 1837,210.419884,-11.604241
Abell 545,82.989803,-11.566267
Abell 545,83.041097,-11.556514
Abell 483,64.011491,-11.52559
Abell 2400,329.20144,-11.446673
Abell 476,62.869612,-11.31397
Abell 1778,205.516565,-11.093338
Abell 1772,205.516565,-11.093338
Abell 2544,347.616864,-10.94117
Abell 2421,332.684715,-10.752252
Abell 2544,347.816356,-10.64568
Abell 761,137.685001,-10.54821
Abell 2642,355.248242,-10.513773
Abell 2652,355.865138,-10.409913
Abell 2684,359.543884,-10.331596
Abell 2426,333.161072,-10.245352
Abell 754,137.006838,-10.004573
Abell 2377,326.406241,-9.95231
Abell 117,13.834133,-9.910119
Abell 85,10.658935,-9.866095
Abell 89,10.658935,-9.866095
Abell 87,10.658935,-9.866095
Abell 2410,329.852674,-9.863938
Abell 2402,329.852674,-9.863938
Abell 85,10.204784,-9.809596
Abell 117,13.936251,-9.808013
Abell 2402,329.482328,-9.785967
Abell 85,9.768167,-9.688962
Abell 350,36.271584,-9.676033
Abell 754,137.151994,-9.620053
Abell 754,137.568145,-9.600319
Abell 475,62.209523,-9.427226
Abell 754,137.36246,-9.397694
Abell 85,10.490754,-9.38345
Abell 89,10.490754,-9.38345
Abell 87,10.490754,-9.38345
Abell 87,10.462443,-9.383148
Abell 85,10.462443,-9.383148
Abell 89,10.462443,-9.383148
Abell 85,10.103614,-9.325346
Abell 87,10.694004,-9.294182
Abell 85,10.694004,-9.294182
Abell 89,10.694004,-9.294182
Abell 85,10.735703,-9.221718
Abell 89,10.735703,-9.221718
Abell 754,136.959511,-9.216354
Abell 34,6.675661,-9.098284
Abell 32,6.675661,-9.098284
Abell 2448,338.125221,-9.05083
Abell 2450,338.125221,-9.05083
Abell 34,6.98427,-8.921788
Abell 32,6.98427,-8.921788
Abell 1041,158.276681,-8.846127
Abell 1964,221.642471,-8.769411
Abell 34,6.624241,-8.721591
Abell 868,146.493084,-8.684921
Abell 2411,330.584911,-8.462149
Abell 2448,337.917908,-8.411212
Abell 2363,325.346383,-8.283275
Abell 2367,325.346383,-8.283275
Abell 217,24.147258,-8.118374
Abell 979,154.730664,-7.993061
Abell 2331,314.253866,-7.885203
Abell 494,67.754422,-7.86184
Abell 2399,329.30447,-7.810852
Abell 2331,314.557818,-7.747474
Abell 53,8.481214,-7.485507
Abell 56,8.481214,-7.485507
Abell 224,24.569441,-6.911432
Abell 1023,156.809637,-6.835029
Abell 216,24.191925,-6.396517
Abell 443,52.901305,-6.185584
Abell 2350,322.967398,-5.940648
Abell 103,12.26515,-5.740387
Abell 2415,331.38633,-5.608569
Abell 2343,320.562512,-5.405988
Abell 838,144.120354,-4.976902
Abell 486,65.667055,-4.974462
Abell 1517,184.76997,-4.94451
Abell 362,37.927534,-4.853062
