SRC_NAME,RAJ2000,DECJ2000,IAUNAME
4FGL_J0001.6-4156,0.386479595833,-41.9237053972,1eRASS J000132.7-415526
4FGL_J0003.1-5248,0.831668583333,-52.7909124778,1eRASS J000319.4-524727
4FGL_J0003.3-5905,0.8055400252342224,-59.096580505371094,1eRASS J000313.8-590551
4FGL_J0007.5-5247,2.007420063018799,-52.72785949707031,1eRASS J000801.6-524337
4FGL_J0008.0-3937,2.03834353333,-39.7563796333,1eRASS J000808.7-394519
4FGL_J0009.8-6358,2.4062867164611816,-63.95940017700195,1eRASS J000938.2-635737
4FGL_J0011.4-4110,2.9683470726013184,-41.09587860107422,1eRASS J001152.2-410542
4FGL_J0019.2-5640,4.86088295833,-56.6951271778,1eRASS J001926.5-564136
4FGL_J0025.7-4801,6.44092530833,-48.0653061722,1eRASS J002545.5-480357
4FGL_J0032.5-4724,8.09404182434082,-47.426692962646484,1eRASS J003222.1-472534
4FGL_J0034.0-4116,8.51836992083,-41.2720757111,1eRASS J003404.1-411613
4FGL_J0035.0-5728,8.764370918273926,-57.435569763183594,1eRASS J003503.3-572609
4FGL_J0049.5-4150,12.412285825,-41.8604264722,1eRASS J004938.9-415138
4FGL_J0050.8-3428,12.702291488647461,-34.480804443359375,1eRASS J005048.4-342849
4FGL_J0102.6-5639,15.5435549417,-56.617911,1eRASS J010210.9-563703
4FGL_J0119.4-5354,19.9601931458,-53.9549688917,1eRASS J011950.2-535715
4FGL_J0122.1-3004,20.514999389648438,-30.085420608520508,1eRASS J012204.0-300510
4FGL_J0130.4-2129,22.6072605083,-21.4774731028,1eRASS J013025.8-212842
4FGL_J0133.2-4533,23.288665771484375,-45.59000015258789,1eRASS J013309.4-453523
4FGL_J0135.3-2728,23.848417282104492,-27.470306396484375,1eRASS J013523.5-272814
4FGL_J0147.6-6028,26.973583221435547,-60.46991729736328,1eRASS J014753.9-602811
4FGL_J0150.5-3337,27.587493896484375,-33.64017868041992,1eRASS J015020.8-333824
4FGL_J0150.6-5448,27.685556325,-54.8347382111,1eRASS J015044.4-545004
4FGL_J0151.4-3607,27.8643465375,-36.1049090556,1eRASS J015127.6-360613
4FGL_J0154.5-6604,28.63068199157715,-66.0710220336914,1eRASS J015431.0-660414
4FGL_J0156.9-3235,29.252832412719727,-32.59152603149414,1eRASS J015700.6-323528
4FGL_J0159.3-4523,29.778039932250977,-45.26055908203125,1eRASS J015906.6-451535
4FGL_J0201.1-4347,30.295499801635742,-43.78202819824219,1eRASS J020110.9-434657
4FGL_J0204.3-3140,31.0684748667,-31.7493375611,1eRASS J020416.5-314458
4FGL_J0206.8-5744,31.670387268066406,-57.830257415771484,1eRASS J020640.7-574948
4FGL_J0214.2-7025,33.5186190833,-70.451721275,1eRASS J021404.6-702705
4FGL_J0214.4-5822,33.543251037597656,-58.368560791015625,1eRASS J021410.3-582208
4FGL_J0214.8-6150,33.56751795,-61.8260164861,1eRASS J021415.3-614934
4FGL_J0214.9-3722,33.7503405333,-37.4803431389,1eRASS J021500.1-372844
4FGL_J0218.9-2305,34.667564392089844,-23.120121002197266,1eRASS J021840.2-230716
4FGL_J0225.5-5618,36.419918060302734,-56.30339050292969,1eRASS J022540.6-561812
