ra,dec,name
343.49062,16.14821,3C 454.3
194.04653,-5.78932,3C 279
330.68038,42.27777,BL Lac
166.11384,38.20883,Mkn 421
338.15196,11.73137,CTA 102
228.21055,-9.09995,PKS 1510-089
216.98454,-42.10539,PKS 1424-41
49.95067,41.51169,NGC 1275
110.47241,71.34349,S5 0716+71
329.71648,-30.22552,PKS 2155-304
238.92935,11.19008,PG 1553+113
226.10415,10.4939,PKS 1502+106
74.26329,-23.41438,PKS 0454-234
67.16843,-37.93877,PKS 0426-380
57.15894,-27.82043,PKS 0346-27
179.88264,29.24551,Ton 599
84.70978,-44.08587,PKS 0537-441
17.16263,1.5842,4C +01.02
186.22692,21.37956,4C +21.35
248.81325,38.13497,4C +38.41
35.66492,43.03619,3C 66A
253.46757,39.76017,Mkn 501
72.35217,-43.83462,PKS 0447-439
39.46833,28.8025,4C +28.07
216.75158,23.8,PKS 1424+240
299.9993,65.14848,1ES 1959+650
230.54158,31.73733,B2 1520+31
187.27792,2.05238,3C 273
162.11508,71.72665,S5 1044+71
32.69246,-51.01719,PKS 0208-512
184.46701,30.11684,B2 1215+30
39.66218,16.61645,PKS 0235+164
306.41942,-7.59797,PKS 2023-07
342.49839,-12.85467,PKS 2247-131
149.41016,55.38369,4C +55.17
352.33696,-49.92797,PKS 2326-502
18.02421,22.74411,S2 0109+22
153.76735,49.43314,1H 1013+498
206.38821,44.88322,B3 1343+451
270.1852,78.46711,S5 1803+784
122.06455,-7.85296,PKS 0805-07
35.27275,35.93714,B2 0218+357
229.4244,-24.37232,AP Librae
77.35819,5.69315,TXS 0506+056
191.69501,-25.79702,PKS 1244-255
314.06817,-47.24656,PKS 2052-47
114.82513,1.61794,PKS 0736+01
356.30201,-15.91901,PMN J2345-1555
60.97358,-36.08438,PKS 0402-362
201.3651,-43.01911,Cen A
32.80514,10.85976,MG1 J021114+1051
164.62335,1.56634,4C +01.28
75.30338,-1.98731,S3 0458-02
299.49925,-38.75178,PKS 1954-388
114.53075,17.70528,PKS 0735+17
149.6958,65.56492,S4 0954+65
102.6949,25.05,1ES 0647+250
339.14202,-14.55615,PKS 2233-148
339.09363,28.48262,B2 2234+28A
324.85072,-42.58902,MH 2136-428
267.88663,9.65015,OT 081
263.26129,-13.08043,PKS 1730-13
76.34671,4.99521,PKS 0502+049
192.07827,58.34131,PG 1246+586
133.70367,20.10856,OJ 287
124.56635,42.37876,S4 0814+42
83.16249,7.54537,OG 050
80.7416,-36.45857,PKS 0521-36
54.8788,-1.77647,PKS 0336-01
26.13975,27.08419,TXS 0141+268
189.88648,4.71812,MG1 J123931+0443
97.74801,-24.11283,TXS 0628-240
357.00943,-16.52063,PKS 2345-16
325.89758,17.73029,OX 169
215.62612,32.38492,OQ 334
171.7683,-18.95485,PKS 1124-186
24.13713,39.10011,B3 0133+388
212.23538,-7.87405,PKS B1406-076
176.74353,39.9758,S4 1144+40
220.98832,-39.14446,PKS 1440-389
185.34142,30.17697,PG 1218+304
45.86042,-24.11983,PKS 0301-243
341.05305,40.95378,TXS 2241+406
235.73558,61.49803,GB6 J1542+6129
287.79021,-20.11531,PKS B1908-201
187.55871,25.30198,ON 246
267.13682,70.09743,S4 1749+70
255.04091,68.50182,TXS 1700+685
340.9781,20.35105,RGB J2243+203
347.7722,34.41969,B2 2308+34
277.30168,-58.23199,PKS 1824-582
233.18453,-13.3212,TXS 1530-131
197.61942,32.3455,OP 313
122.45496,52.31622,1ES 0806+524
7.12425,20.00742,TXS 0025+197
308.84169,10.93394,PKS 2032+107
