name,ra,dec
eFEDSJ083356.3-010113,128.48506,-1.0203
eFEDSJ091333.6-004250,138.39022,-0.71412
eFEDSJ090446.0+020843,136.19187,2.14549
eFEDSJ083811.8-015934,129.54981,-1.99299
eFEDSJ092851.8+041629,142.21585,4.27498
eFEDSJ090820.9+045058,137.08723,4.84979
eFEDSJ093520.9+023234,143.83738,2.54295
eFEDSJ090915.8+035442,137.3161,3.91185
eFEDSJ083911.2-020229,129.79697,-2.04152
eFEDSJ092002.1+010219,140.00909,1.03891
eFEDSJ093000.2-014514,142.50121,-1.75394
eFEDSJ092725.1+024348,141.85488,2.73018
eFEDSJ093639.2+033636,144.16347,3.61012
eFEDSJ083651.3+030002,129.21377,3.00073
eFEDSJ092723.5-014121,141.84841,-1.68932
eFEDSJ092023.2+013444,140.09676,1.57896
eFEDSJ083003.8+013446,127.51614,1.57954
eFEDSJ085643.1-020803,134.17993,-2.13446
eFEDSJ092458.0-012613,141.24224,-1.43705
eFEDSJ090539.2+012510,136.41378,1.41956
eFEDSJ085430.2-005702,133.62606,-0.95077
eFEDSJ091709.1+034935,139.28809,3.82671
eFEDSJ090543.6+043349,136.43157,4.56382
eFEDSJ091452.5+041552,138.71862,4.26465
eFEDSJ085200.3+022932,133.00129,2.49249
eFEDSJ090624.6+005756,136.60262,0.96561
eFEDSJ092943.2+004127,142.43038,0.69104
eFEDSJ085633.8+033450,134.14097,3.58073
eFEDSJ090746.6+014627,136.94459,1.77442
eFEDSJ091757.1-013242,139.48853,-1.54526
eFEDSJ084044.7+040356,130.18649,4.06594
eFEDSJ082934.1-003310,127.39266,-0.55285
eFEDSJ084014.6-022711,130.06118,-2.45313
eFEDSJ090006.3+021536,135.02639,2.26029
eFEDSJ083710.6+025046,129.29425,2.84631
eFEDSJ091157.4+014327,137.9896,1.72444
eFEDSJ092921.7+040040,142.34069,4.01133
eFEDSJ084232.1-000615,130.63417,-0.10428
eFEDSJ091856.2+032124,139.73428,3.3568
eFEDSJ090257.5+000909,135.73989,0.15254
eFEDSJ084106.7+031205,130.27791,3.20153
eFEDSJ083016.3-000945,127.56826,-0.16275
eFEDSJ085825.0+003107,134.60466,0.51871
eFEDSJ091227.6-000915,138.1152,-0.15435
eFEDSJ091248.5+031321,138.20226,3.22274
eFEDSJ090552.2+025932,136.46779,2.99249
eFEDSJ091255.8-004008,138.23301,-0.66915
eFEDSJ084702.7+013000,131.76148,1.50021
eFEDSJ083515.0+011942,128.8129,1.32843
eFEDSJ092329.0+041223,140.87112,4.20654
eFEDSJ090342.1+005307,135.92565,0.88548
eFEDSJ084222.9+001000,130.59572,0.16681
eFEDSJ090913.8-001214,137.30799,-0.204
eFEDSJ091358.1+025707,138.49237,2.95215
eFEDSJ093057.4-013213,142.73964,-1.53706
eFEDSJ092011.4-002249,140.0478,-0.38042
eFEDSJ090059.3+035925,135.24702,3.99059
eFEDSJ092846.7-013558,142.19504,-1.59971
eFEDSJ090540.6+030716,136.41948,3.12137
eFEDSJ091747.2+024102,139.4468,2.68405
eFEDSJ084259.9+001320,130.74996,0.22243
eFEDSJ084531.6+022831,131.38181,2.4754
eFEDSJ085213.1+002817,133.05505,0.47161
eFEDSJ083409.7+035901,128.54057,3.98395
eFEDSJ093611.0+050201,144.04583,5.0339
eFEDSJ085522.1+015202,133.84225,1.86731
eFEDSJ085311.3+002012,133.29757,0.33678
eFEDSJ092124.3+013834,140.35145,1.64293
eFEDSJ085453.8+003421,133.72451,0.57267
eFEDSJ090022.8-010407,135.09552,-1.06879
eFEDSJ093410.5+025635,143.54374,2.94319
eFEDSJ083533.9-015059,128.89182,-1.84989
eFEDSJ091247.5-010325,138.19832,-1.05708
eFEDSJ093030.3+025852,142.6262,2.98127
eFEDSJ085035.2-011207,132.64703,-1.20218
eFEDSJ090229.3+032305,135.62212,3.38504
eFEDSJ091140.8+020514,137.92007,2.08735
eFEDSJ091757.6-002845,139.49022,-0.4794
eFEDSJ091105.7-013751,137.77416,-1.6309
eFEDSJ091641.7+024249,139.17383,2.71396
eFEDSJ091747.3+033714,139.44733,3.62079
eFEDSJ090348.4+013111,135.95172,1.52
eFEDSJ092915.7-001357,142.31596,-0.23265
eFEDSJ085410.3-022236,133.54325,-2.37697
eFEDSJ093945.3+034453,144.93897,3.74828
eFEDSJ092956.3+014843,142.48478,1.81227
eFEDSJ093023.9+005814,142.59996,0.97087
eFEDSJ084404.5-012345,131.01919,-1.3961
eFEDSJ083523.6+000153,128.84857,0.03157
eFEDSJ093431.3-002309,143.63059,-0.38597
eFEDSJ084135.0+010150,130.3959,1.03061
eFEDSJ090605.5-000413,136.52311,-0.07028
eFEDSJ084744.2+020645,131.93438,2.11266
eFEDSJ093703.2+015249,144.26343,1.88036
eFEDSJ090544.2+015004,136.43441,1.8347
eFEDSJ085446.0-003350,133.69201,-0.56403
eFEDSJ092035.9+002330,140.14981,0.39197
eFEDSJ093409.9+020828,143.54138,2.14133
eFEDSJ092747.4+035412,141.94778,3.90354
eFEDSJ090004.8+000333,135.02028,0.05941
eFEDSJ091114.1+042233,137.80876,4.37604
eFEDSJ091718.5+000353,139.3273,0.06481
eFEDSJ090503.7+041501,136.26558,4.25049
eFEDSJ091934.6+033941,139.89423,3.66164
eFEDSJ085311.8+022721,133.29927,2.45616
eFEDSJ085411.3-001925,133.54727,-0.32361
eFEDSJ091113.5-020746,137.80675,-2.12949
eFEDSJ092129.0-010342,140.37127,-1.06187
eFEDSJ090859.7-005306,137.24913,-0.88527
eFEDSJ082945.9-013957,127.44169,-1.66612
eFEDSJ092629.3+032614,141.62239,3.43746
eFEDSJ092142.8+010423,140.42864,1.0733
eFEDSJ091610.0+004524,139.04206,0.75685
eFEDSJ090327.7+030700,135.86562,3.117
eFEDSJ092821.3-020324,142.08937,-2.05689
eFEDSJ083903.4+043457,129.76428,4.58265
eFEDSJ084623.0-012217,131.59605,-1.37147
eFEDSJ091027.4-004427,137.61469,-0.74091
eFEDSJ084130.6+032140,130.37777,3.36144
eFEDSJ085807.7+003429,134.53233,0.57477
eFEDSJ084427.2+013425,131.11373,1.5739
eFEDSJ083318.3+014127,128.32646,1.69102
eFEDSJ092246.0+034224,140.69199,3.70678
eFEDSJ090710.6+012812,136.79448,1.47015
eFEDSJ085625.4-021228,134.10646,-2.20789
eFEDSJ084822.7+022317,132.09484,2.38831
eFEDSJ084347.5+025232,130.94802,2.87565
eFEDSJ084339.1+011104,130.91315,1.18472
eFEDSJ091845.4-011136,139.68945,-1.19342
eFEDSJ083916.0+035935,129.81656,3.99344
eFEDSJ091830.1-010632,139.626,-1.10917
eFEDSJ084842.9+034613,132.17881,3.77055
eFEDSJ084026.4+000008,130.11035,0.00231
eFEDSJ083836.1-015150,129.65083,-1.86402
eFEDSJ085443.6+004821,133.68214,0.80589
eFEDSJ083242.3-013217,128.1765,-1.53826
eFEDSJ090037.5+042304,135.15633,4.38469
eFEDSJ085933.5-000901,134.89009,-0.15032
eFEDSJ084700.7+003717,131.75323,0.62152
