_RAJ2000_2,_DEJ2000_2,HIP
24.4285273649,-57.236757486,7588
78.6344681221,-8.2016405511,24436
210.9558520102,-60.3730393096,68702
3.4351665938,52.6587263057,1100
3.4425321805,54.4645913487,1104
5.0692484264,54.2009918357,1621
13.7410361702,51.2036832014,4287
15.0346590191,55.2906475689,4679
26.5091321352,55.3319185379,8235
26.5425493648,54.7591887474,8246
26.5357871504,53.607739615,8242
27.4149784443,53.9146701599,8503
28.1087138767,55.3315975765,8738
39.8099111268,50.7838214607,12371
40.8947095633,51.5343175779,12724
42.4254755862,53.9271006382,13187
55.5102442454,54.9207685081,17285
60.5656057479,53.7532739371,18834
65.4704732961,54.26023987,20381
70.1849691489,52.6167366165,21779
72.0251144622,52.6062991893,22297
159.3394720087,50.5511952694,51995
214.0413723852,51.3672313188,69713
250.6637292195,53.5852836096,81816
271.6552690399,50.0106910164,88713
274.7626479611,49.9682778547,89760
285.8296409266,51.5140756354,93555
291.3801310739,52.4024400406,95506
305.7005579316,53.4073891723,100505
307.0931659109,51.6881473167,100973
307.4277320188,50.318626379,101108
307.7085388709,50.8389999832,101203
309.4437258677,51.465451386,101792
311.6498422237,54.8764866854,102524
313.4280579244,54.8424647143,103132
321.0910762294,55.6063345244,105687
322.4742869639,51.8509424187,106135
322.7912863516,53.9173528837,106245
323.149725747,53.8065265947,106366
323.2707934671,54.1133969982,106405
323.6433985813,55.0892357868,106529
323.959078476,50.7801431008,106626
323.9148740295,53.1485449837,106613
324.8036194748,53.6791575239,106918
325.1012278276,54.0298425099,107012
328.3629861668,51.5029722061,108054
329.1876309769,51.5760411918,108326
331.8796273742,51.7186119044,109217
334.2498606015,53.6502702414,110020
334.7816464663,52.12032012,110186
335.560943533,54.8003536039,110441
337.4686887094,53.7918060224,111053
345.9899393606,54.1982789354,113897
346.6422277888,51.4353764399,114103
350.7066767837,54.0065996526,115421
352.7820479005,55.7477720418,116070
352.9970364839,54.9208137907,116149
353.8265895304,52.3949454475,116405
357.8328882221,54.0210030283,117626
0.1744463248,55.7224601908,59
5.1253272229,60.2854543428,1637
6.3550938466,56.1757199869,2009
7.8143359234,57.2516868239,2459
7.9100323297,58.1436634679,2493
7.916513198,58.0589110996,2494
12.6981781975,58.754229451,3958
17.8712360772,56.0999397215,5576
17.9805389225,58.2511213219,5609
18.2152429256,55.9387533837,5670
21.2827209859,60.5583975194,6635
21.7746072056,57.7218057547,6775
21.8596583785,60.2844795075,6793
24.6095159369,60.5629680518,7640
24.8384959468,60.4084346799,7720
25.3984208698,59.9851452471,7900
25.8347454994,59.7524762018,8049
28.0571334591,58.4350954343,8725
45.4412927899,58.3276759903,14094
50.1867079369,58.8555581381,15584
54.9679400927,55.758283146,17106
70.716294182,56.9494036515,21924
110.7244479772,55.3408954087,35787
307.8732000994,56.1799756931,101256
312.9624220682,56.8346262246,102983
318.0444806977,58.9034830149,104676
318.6895162187,59.7610312126,104883
321.0968865065,56.3615667385,105690
321.8059190313,56.2083853203,105925
321.8858568412,59.2946783608,105960
322.6913544801,57.2000437186,106210
324.2484999367,58.1401673896,106716
324.7697908096,56.9498283976,106905
324.8786698441,56.5941521968,106941
324.8641854522,57.4835569826,106937
325.4938709893,58.5000583175,107123
325.851931607,57.0231545208,107250
325.9220851159,58.2398033487,107272
332.3386801952,58.0620136011,109358
337.5779195082,60.6416457029,111089
338.8576093909,59.9843365994,111499
341.1309052354,58.5195078964,112278
349.5195308081,59.8591971028,115048
350.9745719998,59.1751439758,115508
352.2669082636,59.7530503853,115912
352.3755283436,59.603563914,115950
353.5660321049,57.2163740706,116328
354.2660358277,57.9811746449,116538
358.8604113693,58.079154548,117947
359.064386808,60.2925353175,118012
1.0638350137,60.1550152453,334
