name,ra,dec,major,minor,angle
FL16Y J0000.0+3145,0.0028,31.7623,0.0295,0.0269,-87.83
FL16Y J0000.4-7354,0.114,-73.9138,0.0427,0.0382,-41.08
FL16Y J0000.5+0747,0.149,7.7956,0.2541,0.1202,-33.62
FL16Y J0000.9+2531,0.2294,25.5179,0.0733,0.0526,86.83
FL16Y J0001.2-0747,0.3144,-7.7958,0.0236,0.0227,73.33
FL16Y J0001.2+4741,0.3161,47.6984,0.0458,0.0381,46.31
FL16Y J0001.5-4155,0.3768,-41.9321,0.0277,0.0249,-56.67
FL16Y J0001.5-0010,0.3787,-0.1711,0.0617,0.059,-48.25
FL16Y J0001.6+2113,0.4002,21.2261,0.0294,0.0285,-58.91
FL16Y J0001.6+3501,0.4245,35.0235,0.0726,0.0636,-61.32
FL16Y J0002.2+6719,0.5668,67.3227,0.1346,0.1052,81.77
FL16Y J0002.3-6728,0.5804,-67.4709,0.0256,0.0236,31.82
FL16Y J0002.4-0815,0.6142,-8.2541,0.0552,0.0454,74.0
FL16Y J0002.4-5156,0.6175,-51.9367,0.1191,0.0923,30.9
FL16Y J0002.8+7218,0.7086,72.3031,0.1053,0.0578,51.39
FL16Y J0002.9+6217,0.7454,62.2837,0.0261,0.0254,71.63
FL16Y J0003.2-5248,0.8073,-52.8059,0.0228,0.0204,-52.43
FL16Y J0003.2+2506,0.816,25.1031,0.0744,0.0556,15.19
FL16Y J0003.2-0704,0.819,-7.0672,0.051,0.0421,4.24
FL16Y J0003.3-1928,0.8288,-19.4824,0.0475,0.0443,67.38
FL16Y J0003.3-1545,0.8299,-15.7594,0.0902,0.0611,-42.5
FL16Y J0003.4-5906,0.8666,-59.1059,0.0546,0.0452,29.07
FL16Y J0003.4+0718,0.8715,7.308,0.0686,0.0613,49.18
FL16Y J0003.6+3058,0.922,30.9806,0.0557,0.0466,-87.63
FL16Y J0003.8+2205,0.9538,22.0895,0.1049,0.0593,-69.81
FL16Y J0003.9+5712,0.9952,57.2031,0.0551,0.0461,-21.46
FL16Y J0004.0+0841,1.0031,8.6986,0.0591,0.048,-43.17
FL16Y J0004.0-1149,1.0052,-11.8183,0.038,0.0371,46.95
FL16Y J0004.2+4614,1.0667,46.2493,0.0502,0.0489,83.88
FL16Y J0004.4+6839,1.1103,68.6589,0.0873,0.0728,-27.43
FL16Y J0004.4-4737,1.116,-47.62,0.0375,0.0315,-15.67
FL16Y J0004.5-4002,1.1289,-40.0423,0.0499,0.0448,61.72
FL16Y J0005.5+6636,1.3956,66.6086,0.1945,0.1566,-40.27
FL16Y J0005.7+6742,1.4347,67.7016,0.1069,0.0858,54.16
FL16Y J0005.9+3820,1.4896,38.3468,0.0703,0.0601,56.48
FL16Y J0006.1+0133,1.5425,1.5567,0.0811,0.0521,55.07
FL16Y J0006.1-0621,1.5443,-6.3612,0.0664,0.0613,39.28
FL16Y J0006.2-5625,1.5546,-56.4295,0.0513,0.0481,17.1
FL16Y J0006.2-1813,1.5742,-18.2179,0.0902,0.08,-19.23
FL16Y J0006.7-5244,1.6912,-52.7463,0.4273,0.2264,-69.54
FL16Y J0006.9+4618,1.7348,46.3009,0.049,0.039,-65.41
FL16Y J0007.0+7303,1.7673,73.0519,0.0081,0.0081,-30.85
FL16Y J0007.2-0321,1.8243,-3.3613,0.066,0.0528,-79.03
FL16Y J0007.6+4009,1.9233,40.1552,0.0333,0.0283,71.83
FL16Y J0008.0+4712,2.0074,47.2019,0.0127,0.0125,-8.83
FL16Y J0008.2-3943,2.0533,-39.7199,0.0772,0.0699,15.36
FL16Y J0008.3+6926,2.0872,69.4364,0.051,0.0453,71.09
FL16Y J0008.4-2339,2.1189,-23.6572,0.0377,0.034,44.16
FL16Y J0008.4+1455,2.1208,14.9326,0.0298,0.0287,80.97
FL16Y J0008.5+2507,2.1388,25.1272,0.2181,0.1917,-58.78
FL16Y J0008.5+6837,2.1397,68.6171,0.0184,0.017,-36.88
FL16Y J0009.1+0628,2.2967,6.471,0.0302,0.0257,-69.14
FL16Y J0009.3-1415,2.3273,-14.2623,0.071,0.064,-68.5
FL16Y J0009.4+5030,2.3532,50.5077,0.0124,0.0119,-70.09
FL16Y J0009.4+1746,2.3663,17.77,0.1283,0.1216,-69.61
FL16Y J0009.6-3217,2.4066,-32.2853,0.0406,0.0358,-37.69
FL16Y J0009.7-4317,2.444,-43.2856,0.037,0.0334,54.85
FL16Y J0009.8+1339,2.4606,13.6651,0.0747,0.0528,-85.61
FL16Y J0010.0-6357,2.5173,-63.9504,0.1366,0.1144,58.92
FL16Y J0010.0+2810,2.5218,28.1816,0.0788,0.0557,86.52
FL16Y J0010.1-5012,2.5259,-50.2098,0.2677,0.1294,-61.97
FL16Y J0010.5-3027,2.6398,-30.4574,0.0399,0.0357,17.68
FL16Y J0010.6+2048,2.6673,20.8042,0.0498,0.0445,61.28
FL16Y J0010.8+4725,2.7104,47.4248,0.0474,0.04,35.7
FL16Y J0010.8-2155,2.7227,-21.9229,0.0732,0.0618,17.44
FL16Y J0011.4+4832,2.8621,48.5432,0.2961,0.2195,-44.33
FL16Y J0011.5+0058,2.8753,0.9674,0.0314,0.0298,87.54
FL16Y J0011.5-4108,2.894,-41.1495,0.1084,0.0818,87.62
FL16Y J0011.7-3143,2.9375,-31.7318,0.0489,0.0437,-55.96
FL16Y J0011.8+7045,2.9639,70.7507,0.034,0.0273,-45.62
FL16Y J0012.3-2622,3.0868,-26.374,0.1104,0.0707,22.2
FL16Y J0013.0+3354,3.2552,33.91,0.04,0.0383,10.5
FL16Y J0013.0-3956,3.2672,-39.9389,0.0254,0.0241,-29.9
FL16Y J0013.4+0949,3.3712,9.8249,0.0341,0.0317,-51.37
FL16Y J0013.6+4050,3.403,40.8341,0.0556,0.0487,-28.57
FL16Y J0013.9-1854,3.4882,-18.9076,0.033,0.0269,-80.55
FL16Y J0013.9-0421,3.4911,-4.3648,0.0485,0.0462,41.73
FL16Y J0014.1+1909,3.5278,19.1526,0.0856,0.0589,64.63
FL16Y J0014.2-5022,3.5708,-50.3822,0.0572,0.0384,-81.64
FL16Y J0014.2+0852,3.5723,8.8774,0.0378,0.036,36.16
FL16Y J0014.3-0459,3.5795,-4.9952,0.0458,0.0373,-18.34
FL16Y J0014.7+5802,3.6825,58.0345,0.0299,0.0274,-19.46
FL16Y J0014.8+6118,3.7052,61.3017,0.028,0.0278,74.12
FL16Y J0015.1+3213,3.7802,32.2257,0.0603,0.0522,42.03
FL16Y J0015.3+3536,3.841,35.6086,0.0413,0.0325,75.71
FL16Y J0015.6+5551,3.9205,55.8663,0.0225,0.0193,73.99
FL16Y J0015.9+2441,3.9872,24.6927,0.0368,0.0338,42.63
FL16Y J0016.2-0017,4.0574,-0.2952,0.0673,0.0609,5.73
FL16Y J0017.0-4606,4.2538,-46.1147,0.172,0.1462,67.88
FL16Y J0017.0+1656,4.2575,16.9443,0.0902,0.0835,88.0
FL16Y J0017.0-0651,4.2745,-6.8601,0.0352,0.0285,83.67
FL16Y J0017.2+6507,4.3214,65.1176,0.085,0.0603,-50.07
FL16Y J0017.5-0512,4.3957,-5.2091,0.0312,0.028,4.04
FL16Y J0017.7+1451,4.4425,14.8632,0.0749,0.0554,-8.16
FL16Y J0018.5+2947,4.6262,29.7951,0.0277,0.0235,-31.98
FL16Y J0018.9+5111,4.7484,51.196,0.1682,0.1364,-13.76
FL16Y J0019.2-3042,4.8091,-30.7096,0.3422,0.2691,58.87
FL16Y J0019.3-8152,4.8299,-81.8698,0.0216,0.0209,-65.04
FL16Y J0019.3-5641,4.847,-56.692,0.0295,0.0272,-79.4
FL16Y J0019.4+2606,4.8709,26.1049,0.1081,0.1015,-73.27
FL16Y J0019.6+2020,4.9063,20.3495,0.0382,0.0357,-60.81
FL16Y J0019.6+7327,4.9156,73.4609,0.0373,0.0353,-17.24
FL16Y J0020.9+0322,5.2371,3.3809,0.0389,0.0319,-32.49
FL16Y J0021.3-5917,5.3336,-59.2963,0.0448,0.039,-70.89
FL16Y J0021.5-2551,5.3991,-25.8611,0.0222,0.021,65.26
FL16Y J0021.6-2220,5.4224,-22.3444,0.229,0.1454,43.15
