_RAJ2000_2,_DEJ2000_2,HIP
95.9879577998,-52.6956604587,30438
2.4581457577,53.5265838055,793
5.8207396293,51.194559429,1839
10.4467768428,55.6823056527,3279
24.2365826631,53.1056874606,7528
60.4023259971,50.7280125876,18794
73.4212679506,50.6083167825,22755
104.3082212435,54.2797264781,33445
115.6022494961,52.3092320134,37550
126.8282518943,49.9221292201,41455
130.767169565,49.9874230641,42786
179.9960728782,51.7715560627,58514
182.7096483043,50.1615740219,59370
182.9694770293,49.5006522685,59470
256.1266661568,52.1616828197,83546
256.3379116525,52.1938898419,83610
256.4873945217,52.0325204624,83660
256.9960397814,52.3177060626,83829
275.0642274408,54.4697465433,89857
287.6525824042,54.4763467218,94194
288.2167999962,55.1765951824,94406
302.5929600371,55.2734896627,99387
309.4165348033,53.8431114575,101779
319.3122718464,50.5197531344,105082
322.1840495398,50.825882341,106042
329.4040553359,50.8454131837,108394
338.274040704,55.0982593303,111317
338.8265843886,54.3465527745,111492
3.5897598253,60.3416974301,1148
29.8923518281,55.7147115684,9305
172.9807990514,58.4308651337,56259
177.710424924,57.6548510012,57773
228.4082546529,57.1916300942,74517
229.64202465,56.9467649635,74916
230.5504279299,56.9097387159,75213
234.0206902396,55.5222144439,76385
261.6671651615,56.3532766762,85369
266.5250711652,55.5348558673,86952
272.2494145632,55.3661761821,88915
277.5468892108,56.1575216644,90685
281.1227419383,56.7787416155,91935
292.4252276033,57.965699665,95852
295.5471567425,59.8421402733,96927
296.2379942039,59.7132806875,97164
328.5595142142,59.4424601493,108111
331.8208261427,56.2340249111,109200
335.190505932,56.1138439669,110327
348.7845237066,56.2950311925,114788
350.0871002594,58.5169134338,115229
357.8308455826,59.1178993003,117624
359.1020872488,56.0327583092,118022
