ra,dec,name
2.7005792228,51.1778607224,884
4.9552531285,50.7501719796,1583
10.2990581677,53.0124919857,3235
11.876301325,51.1000470066,3703
12.9165845826,51.1999612643,4034
14.4331030536,53.5787388237,4507
17.3891611783,51.5771518534,5436
19.069816984,55.2789047622,5934
25.1753321431,51.0103627812,7826
27.6286857625,55.2174436024,8570
36.3904707382,50.4998755837,11307
39.0401542103,52.4874644929,12123
43.1346746147,53.3773320396,13404
51.4504704047,52.3493000587,15982
56.5258053617,53.9053038937,17590
64.4690574862,54.4699843114,20040
66.2167272784,50.8454118953,20609
67.3801009384,50.6098533076,20950
75.695997632,53.758906286,23478
76.759334456,51.7062442757,23811
79.767057249,50.696034,24805
100.6148439411,51.0859924281,32113
112.8693860307,52.6356570858,36584
113.5504933863,54.3630285068,36806
115.6571955308,50.1554226475,37566
129.6676282337,53.722875979,42393
131.4931758294,53.9163635197,43016
133.7341998833,52.9564479085,43767
155.9441530903,49.5910796146,50909
166.4641225965,50.8202420572,54245
211.5498937445,49.6512988712,68874
232.9542895868,54.4714196111,76047
240.0036917682,49.8379383185,78373
250.4350559106,53.0725998979,81739
250.9064211102,52.5029923087,81886
270.2415694887,53.3480354233,88221
270.5695080174,51.4584854267,88322
270.7763931065,50.6967634148,88411
271.0908434181,50.7998536183,88505
271.3848357293,54.5140216665,88611
273.0603659611,52.0618845068,89202
276.3560110538,54.6936138181,90294
277.6367833715,50.1799057128,90719
278.4823866078,51.7191402845,91009
281.7917356595,53.8291693633,92174
282.5931087702,51.1469454436,92447
283.3177357239,50.6559775446,92697
283.4521522537,50.0834599651,92732
284.307773162,53.9359600983,93048
287.1304698507,50.2566184951,94019
289.4021346901,54.1496009754,94816
294.9863419491,52.0947260836,96743
296.0508423499,53.9986518517,97114
296.1006273679,53.1470082483,97126
300.2378026591,50.2476750475,98524
304.4790551247,54.0317040285,100052
306.5857017059,53.789968753,100803
308.9937530838,50.7205342074,101633
311.4579055238,50.7619928329,102469
325.9604004262,50.927842304,107283
326.6347839263,52.5066298787,107520
332.5581905141,50.9957260057,109432
333.2650384072,52.9213060645,109679
334.0767560206,51.0857867307,109963
335.0022566769,51.2505875512,110254
337.8525630573,51.1240220924,111184
340.3618020069,50.9290842375,112027
342.5406514912,53.9292923681,112760
343.5727213056,55.4079778915,113104
344.6943097567,51.0181235139,113470
348.3116128401,53.1208298246,114623
359.1400832216,53.960170574,118036
0.8762029673,55.0599606911,281
1.2395114321,51.1806434897,405
5.8436879228,59.59525803,1850
6.5999658353,57.974739866,2092
7.3547508279,56.9462749833,2307
7.4752353108,59.25486304,2339
12.24100256,58.0072678122,3809
14.0956671573,59.0502754528,4397
18.249235466,57.1824296468,5680
18.5294352626,56.0129998353,5776
19.3339010272,56.414035546,6014
21.2858756988,58.2453815779,6637
22.8496001861,58.1806367069,7092
25.3076852171,58.3452807797,7868
26.7500379245,60.3723246707,8297
29.6204700559,59.2691024775,9211
31.8002306189,58.7877493011,9886
39.605917016,57.0461600033,12302
44.0020689177,58.0005013733,13668
48.9322750156,58.7525419041,15184
64.226385784,57.2411985354,19969
65.1947033616,56.1024700408,20276
66.9254341878,56.1794407889,20821
127.9283322368,55.7764695167,41835
174.0458342046,56.8382475045,56593
182.9166994346,58.0097283415,59450
186.3449144284,55.5104296016,60613
203.5706674705,57.5114401971,66215
223.3677552754,58.1981556771,72854
225.2296950635,57.7535501831,73468
227.7065181039,55.422442437,74279
229.2094049212,57.8555217575,74767
230.1841245082,56.7855235543,75098
233.3476796696,55.2997610527,76164
233.5379942604,56.3537755512,76215
233.8808358765,59.097340494,76332
249.2465485565,58.9573650615,81364
261.0682210425,57.7916758897,85166
266.2324488242,59.8492396622,86870
278.027928309,55.8650626143,90857
279.602672127,55.4449856182,91398
280.6033702694,55.626152065,91735
294.5143082057,58.5258008072,96582
302.2612551786,58.3182458364,99269
304.412006348,60.3064947858,100028
306.1998433484,57.3053064433,100688
309.996515728,58.8941995604,101978
311.0102697274,55.8292091014,102334
313.116971611,56.8312638424,103033
321.3011692213,58.1668389102,105758
332.5574004845,60.0021405083,109431
347.6431678593,60.420936466,114438
348.1066198585,57.073534442,114566
348.9259324243,58.0432402583,114840
353.2005299431,58.0719247214,116212
355.8924438971,59.9519360543,117040
357.7106778796,59.6622872656,117590
0.8417885002,59.0786051118,268
