ra,dec,name
0.359509,13.112765,NGC 7803
0.361179,31.433848,NGC 7805
0.376179,31.442459,NGC 7806
0.539925,2.940559,NGC 7809
0.727429,-34.234941,NGC 7812
0.813259,16.145816,NGC 7814
0.884925,-10.744974,NGC 7808
0.954925,7.479163,NGC 7816
0.996176,20.749975,NGC 7817
1.103677,31.47357,NGC 7819
1.195778,-62.06158,NGC 7823
1.319091,-16.478299,NGC 7821
1.817009,27.708853,NGC 1
1.822009,27.679409,NGC 2
1.954093,35.362453,NGC 5
2.006593,33.069956,NGC 7836
2.086175,-29.914946,NGC 7
2.143676,-33.858274,NGC 10
2.187423,4.612779,NGC 12
2.193673,15.814983,NGC 14
2.200759,33.433845,NGC 13
2.229091,23.818026,NGC 9
2.269925,27.730242,NGC 16
2.387425,33.3094,NGC 20
2.448674,27.829686,NGC 22
2.473674,25.923023,NGC 23
2.486174,-24.961897,NGC 24
2.61034,25.832467,NGC 26
2.637841,28.997185,NGC 27
2.673258,32.983012,NGC 21
2.696591,33.351345,NGC 29
2.778255,-12.107472,NGC 34
2.844088,6.38972,NGC 36
3.080757,31.062181,NGC 39
3.200755,22.023862,NGC 41
3.254507,30.915793,NGC 43
3.509511,48.234936,NGC 48
3.513672,-23.183566,NGC 45
3.629504,-7.168313,NGC 58
3.645761,48.256047,NGC 51
3.650338,18.566645,NGC 52
3.674934,-60.328803,NGC 53
3.686587,-7.345535,NGC 50
3.99367,-0.304157,NGC 60
4.440336,11.449434,NGC 63
4.576587,30.071905,NGC 68
4.586171,30.039405,NGC 69
4.594087,30.080516,NGC 70
4.599087,30.062738,NGC 71
4.619087,30.039961,NGC 72
4.907837,29.935238,NGC 76
5.106584,0.826674,NGC 78
5.297418,22.358028,NGC 80
5.313673,-48.629368,NGC 87
5.342423,-48.640757,NGC 88
5.345335,22.435528,NGC 82
5.38409,-48.626035,NGC 92
5.559501,10.49388,NGC 95
5.706171,-45.269371,NGC 98
5.999083,15.769427,NGC 99
6.011167,16.485815,NGC 100
6.321166,12.884987,NGC 105
6.695334,-33.676607,NGC 115
6.818248,-1.779988,NGC 118
6.876165,-1.513878,NGC 120
6.969498,-1.810266,NGC 124
7.210331,2.839726,NGC 125
7.284498,2.81056,NGC 126
7.301164,2.872504,NGC 127
7.326998,2.869726,NGC 130
7.410332,-33.258552,NGC 131
7.544914,2.093616,NGC 132
7.592832,-33.245497,NGC 134
7.835748,30.789959,NGC 140
7.838247,-22.645789,NGC 144
7.940746,-5.152483,NGC 145
8.298666,48.507713,NGC 147
8.511996,-9.705531,NGC 151
8.566163,-27.804948,NGC 150
8.566163,-31.786054,NGC 148
8.652416,-55.789361,NGC 159
8.667412,-10.766918,NGC 155
8.694079,-8.396644,NGC 157
8.999495,-10.121919,NGC 163
9.018245,23.958303,NGC 160
9.121161,-10.106919,NGC 165
9.164911,-22.593289,NGC 168
9.216578,23.984414,NGC 169
9.301994,1.942505,NGC 173
9.341994,-19.936626,NGC 171
9.489911,8.633883,NGC 180
9.55241,2.728893,NGC 182
9.741996,48.338269,NGC 185
9.749077,-9.002754,NGC 191
9.785327,-14.173024,NGC 178
9.826577,3.331392,NGC 193
9.826993,3.036115,NGC 194
9.829077,0.891952,NGC 196
9.84616,2.797504,NGC 198
9.89491,2.888615,NGC 200
9.89991,-9.194976,NGC 195
9.915327,3.442781,NGC 203
10.094077,41.686333,NGC 205
10.145743,-13.873858,NGC 210
10.202412,-56.214083,NGC 215
10.291993,16.46887,NGC 213
10.362409,-21.045791,NGC 216
10.367826,25.499689,NGC 214
10.437826,36.356895,NGC 218
10.614909,-23.629399,NGC 230
10.652409,-1.526655,NGC 227
10.674909,40.865222,NGC 221
10.685326,41.268833,NGC 224
10.689909,-23.561065,NGC 232
10.697409,23.489137,NGC 228
10.858659,-50.184644,NGC 238
10.867825,-0.123602,NGC 237
11.443241,-15.596911,NGC 244
11.523657,-1.722211,NGC 245
11.786573,-20.760514,NGC 247
11.865323,-31.420499,NGC 254
11.88824,-25.288285,NGC 253
11.947823,-11.468862,NGC 255
12.007823,27.623297,NGC 252
12.014073,-2.776376,NGC 259
12.087823,-38.234101,NGC 264
12.14574,27.690797,NGC 260
12.194906,31.955513,NGC 262
12.451156,32.278568,NGC 266
12.539906,-5.194149,NGC 268
12.702405,-6.886091,NGC 273
12.758239,-7.05748,NGC 274
12.768655,-7.065535,NGC 275
13.019487,47.549936,NGC 278
13.027821,-22.680233,NGC 276
13.125321,24.333302,NGC 280
13.176154,-31.206055,NGC 289
13.566987,-7.236091,NGC 293
13.724486,-37.682435,NGC 300
13.839903,31.67718,NGC 296
14.00032,12.099989,NGC 305
14.027403,24.124691,NGC 304
14.069901,-52.782697,NGC 312
14.138236,-1.7711,NGC 307
14.172817,-52.976308,NGC 323
14.178236,-9.914142,NGC 309
14.219902,-31.962998,NGC 314
14.239068,-43.837984,NGC 319
14.239484,-52.922975,NGC 328
14.293234,-43.726595,NGC 322
14.419068,43.791885,NGC 317
14.454902,30.352737,NGC 313
14.480736,-5.130538,NGC 325
14.506569,-5.073039,NGC 329
14.693652,-20.840236,NGC 320
14.834901,-18.235518,NGC 335
14.958652,-7.578034,NGC 337
15.191151,-9.185532,NGC 341
15.215731,-53.244086,NGC 348
15.538651,-4.245818,NGC 352
15.713641,-65.60991,NGC 360
15.8174,22.342194,NGC 354
15.841567,-6.339703,NGC 357
16.090314,-43.275207,NGC 368
16.287399,-17.757463,NGC 369
16.549898,-30.177723,NGC 378
16.775731,32.347179,NGC 375
16.816147,32.521346,NGC 379
16.82573,32.483846,NGC 380
16.851133,-69.876297,NGC 406
16.852397,32.403568,NGC 382
16.855314,32.413012,NGC 383
16.856147,32.292457,NGC 384
16.86573,32.321068,NGC 385
16.878647,32.362179,NGC 386
16.943647,32.309679,NGC 388
17.097813,33.133011,NGC 394
17.124896,39.694113,NGC 389
17.310729,32.75079,NGC 403
17.362812,35.71773,NGC 404
17.386145,-35.805493,NGC 409
17.650729,-30.220778,NGC 418
17.652812,33.124678,NGC 407
17.743645,33.151622,NGC 410
17.866561,-38.082713,NGC 424
17.942802,-61.526302,NGC 432
18.056971,-58.246582,NGC 434
18.201554,-58.28186,NGC 440
18.230313,0.983063,NGC 428
18.449477,-31.747165,NGC 439
18.499896,2.070561,NGC 435
18.591562,5.925832,NGC 437
18.596971,-55.397418,NGC 454
18.660729,-1.020545,NGC 442
18.719479,1.918061,NGC 445
18.782393,33.3769,NGC 443
18.816562,-1.624989,NGC 448
18.878228,-0.860268,NGC 450
18.907393,33.067456,NGC 447
18.956976,31.080514,NGC 444
18.989062,5.1775,NGC 455
19.030309,33.0894,NGC 449
19.052393,33.063845,NGC 451
19.063226,31.033848,NGC 452
19.306133,-58.909915,NGC 466
19.334059,-33.839941,NGC 461
19.793644,3.300837,NGC 467
19.895715,-58.52436,NGC 484
19.94031,3.410281,NGC 470
19.978643,16.544982,NGC 473
20.028643,3.41667,NGC 474
20.084055,-40.964654,NGC 482
20.316143,3.861947,NGC 479
20.335305,40.487724,NGC 477
20.366143,7.01833,NGC 485
20.446559,5.254722,NGC 488
20.537392,0.947229,NGC 493
20.597392,-0.874712,NGC 497
20.733639,33.471345,NGC 495
20.798639,33.459956,NGC 499
20.850725,9.433882,NGC 509
20.866972,33.2044,NGC 504
20.917389,33.256067,NGC 507
20.919472,33.281067,NGC 508
20.878225,11.291101,NGC 511
20.999889,33.908011,NGC 512
21.016975,12.916376,NGC 514
21.034891,9.551382,NGC 516
21.074058,9.331938,NGC 518
21.120308,-1.641933,NGC 519
21.142808,1.731672,NGC 521
21.144891,3.796947,NGC 520
21.161138,33.473011,NGC 515
21.173225,-1.586655,NGC 530
21.190724,9.994159,NGC 522
21.199474,9.53916,NGC 524
21.321974,9.264994,NGC 532
21.332388,34.024399,NGC 523
21.359474,-1.551378,NGC 538
21.370303,-38.26688,NGC 549
21.380308,-1.409156,NGC 535
21.381558,1.759728,NGC 533
21.435308,-1.378322,NGC 541
21.459058,-1.293878,NGC 543
21.497807,-1.339434,NGC 545
21.503641,-1.343878,NGC 547
21.511557,-1.226656,NGC 548
21.579054,34.754398,NGC 531
21.590304,34.703843,NGC 536
21.629471,34.67551,NGC 542
21.676141,2.021672,NGC 550
21.798222,-22.762734,NGC 555
21.806556,-22.697734,NGC 556
21.81739,-1.971933,NGC 558
21.856974,-1.911933,NGC 560
21.919886,37.183006,NGC 551
21.951557,-1.879433,NGC 564
21.987803,-35.717994,NGC 568
22.04239,-1.306378,NGC 565
22.123632,48.386881,NGC 562
22.151551,-39.306601,NGC 572
22.238213,-51.598533,NGC 576
22.245723,-0.949156,NGC 570
22.617804,-22.665789,NGC 578
22.670306,-1.992488,NGC 580
22.694054,21.439696,NGC 575
