Name,ra,dec,CatalogName
1eRASS J000146.3-765712,0.44,-76.95376,
J000503.6-391749,1.27,-39.29688,HE0002-3934
1eRASS J000626.3-405120,1.61,-40.85556,
1eRASS J001457.7-403613,3.74,-40.60388,
1eRASS J001844.7-620901,4.69,-62.15026,
1eRASS J002640.5-530948,6.67,-53.16321,
1eRASS J003026.3-481253,7.61,-48.21557,SAO215119
1eRASSJ003416.7-790521,8.57,-79.08895,PGC3095437
1eRASS J004045.9-791424,10.19,-79.24011,
J004226.2-380943,10.61,-38.1602,J004226-380936
1eRASS J004430.8-491514,11.13,-49.25447,
1eRASSJ005308.9-743904,13.29,-74.65147,J005308-743904
1eRASS J005655.1-751351,14.23,-75.23116,
1eRASS J005837.3-360605,14.66,-36.10139,
1eRASSJ010027.0-511353,15.11,-51.23169,N.A.
1eRASS J010333.9-643908,15.89,-64.65198,5BZUJ0103-6439
1eRASSJ010402.1-720208,16.0,-72.03503,J010401-720206
1eRASS J010401.7-720151,16.01,-72.03141,
1eRASSJ010516.9-582614,16.32,-58.43757,N.A.
J010750.4-364317,16.96,-36.72254,J010750-364321
1eRASSJ011109.6-472736,17.79,-47.46286,N.A.
1eRASS J011508.5-304703,18.79,-30.78383,
1eRASS J011540.5-624924,18.92,-62.82334,
J011811.2-265805,19.55,-26.96943,J011811-265813
1eRASS J012019.5-440744,20.08,-44.12858,
J012237.4-264646,20.66,-26.77909,RXSJ01226-2646
1eRASS J012321.4-572851,20.84,-57.48252,SAO232406
1eRASSJ012345.7-584819,20.94,-58.80578,N.A.
J012354.2-350356,20.98,-35.06546,N.A.
1eRASS J012710.5-810819,21.8,-81.1407,5BZBJ0127-8108
1eRASS J012847.7-542123,22.2,-54.35714,
1eRASS J012851.9-441019,22.22,-44.17202,
J012910.8-214156,22.29,-21.69944,IRAS01267-2157
1eRASS J013334.9-210957,23.4,-21.166,
1eRASS J013754.4-555914,24.48,-55.98746,
J013803.9-215530,24.52,-21.92525,3HSPJ013803.7-215530
1eRASS J014029.6-662933,25.12,-66.49235,
1eRASS J014820.9-374018,27.09,-37.67269,
1eRASS J015141.7-361114,27.92,-36.18783,
1eRASS J015146.7-733411,27.94,-73.56928,
J015227.0-231953,28.11,-23.33129,RXSJ01524-2319
1eRASS J020213.5-762001,30.56,-76.33427,
1eRASS J020300.7-240214,30.75,-24.03683,
J020529.8-244621,31.37,-24.77271,N.A.
J020834.8-173935,32.15,-17.65988,NVSSJ020834-173933
J021124.5-401725,32.85,-40.29026,N.A.
J021150.5-170232,32.96,-17.04484,J021151-170241
J021253.8-260839,33.22,-26.14421,J021252-260839
1eRASS J021353.7-221928,33.47,-22.32491,
1eRASSJ021437.1-643004,33.66,-64.50141,N.A.
1eRASS J021800.9-712801,34.5,-71.46707,HD 14643
1eRASS J022048.4-333327,35.2,-33.55737,
J022440.4-190830,36.17,-19.14173,ESO545-13
J022502.7-231249,36.26,-23.21401,N.A.
1eRASSJ022509.0-631325,36.29,-63.22398,N.A.
1eRASS J022625.5-282100,36.61,-28.34948,
1eRASS J022815.1-405715,37.06,-40.9543,
1eRASS J023000.6-595630,37.5,-59.94137,
1eRASSJ023422.7-434753,38.59,-43.79762,N.A.
J023437.8-084716,38.66,-8.78786,NGC985
J023727.6-263031,39.37,-26.50766,PGC767076
1eRASSJ023819.6-521133,39.58,-52.19232,ESO198-24
J023845.0-304820,39.69,-30.80634,ESO416-5
1eRASS J023849.0-403837,39.7,-40.64411,
J023848.8-125846,39.71,-12.98053,TEX0236-131
1eRASS J023901.0-581113,39.75,-58.18723,CD-58 538
J024008.1-230918,40.03,-23.15419,CRATESJ024008-230920
1eRASS J024029.9-093627,40.12,-9.60809,
1eRASS J024309.6-721648,40.79,-72.28008,
J024618.8-301625,41.58,-30.27526,J024618-301630
J024933.9-311126,42.39,-31.19012,N.A.
1eRASS J024958.5-550319,42.5,-55.05531,
J025740.7-163047,44.42,-16.51234,N.A.
J030004.1-104926,45.02,-10.82444,MCG-02.08.038
J030220.9-042324,45.59,-4.38964,mcxcJ0302.3-0423
J030515.1-160816,46.31,-16.13794,3HSPJ030515.1-160816
J030724.0-164020,46.85,-16.67227,J030724-164020
J031118.8-204618,47.83,-20.7715,PGC3095624
1eRASS J031204.6-285859,48.02,-28.9832,
1eRASS J031324.8-350627,48.35,-35.10719,
1eRASSJ031757.8-441417,49.49,-44.23889,J0317.9-4414
1eRASS J031828.1-212209,49.62,-21.36886,
1eRASS J031948.6-262712,49.95,-26.45388,
J032241.6-371228,50.67,-37.2075,J032241-371225
1eRASSJ032502.3-415417,51.26,-41.90781,N.A.
J032525.3-060839,51.36,-6.14389,KUG0322-063B
1eRASS J032649.8-004354,51.71,-0.73123,
1eRASS J032802.9-622532,52.01,-62.42529,
1eRASSJ032836.5-554251,52.16,-55.71278,J0328.6-5542
J033105.9-210032,52.77,-21.00903,J033105-210032
1eRASS J033319.8+024428,53.33,2.74145,
J033336.3-360825,53.4,-36.14076,NGC1365
J033424.4-151340,53.6,-15.2279,N.A.
J033647.1+003513,54.2,0.58718,SAO111291
1eRASS J033702.9-095003,54.26,-9.83392,
J033829.1-352701,54.62,-35.4502,J033828-352652
1eRASS J033930.3-175758,54.88,-17.96617,
J034011.6-183446,55.05,-18.58032,J034011-183449
1eRASS J034203.6-211441,55.52,-21.24419,
1eRASS J034503.0-264820,56.26,-26.80606,
1eRASS J034503.2-543020,56.26,-54.50563,
1eRASS J034928.5-534447,57.37,-53.74612,
J035019.1-221724,57.58,-22.28922,PGC3095652
1eRASS J035128.4-142906,57.87,-14.4856,
1eRASS J035559.6-610428,59.0,-61.07449,
J035912.5-234156,59.8,-23.69887,5084149398994695168
J040003.7-290221,60.02,-29.03822,SAO169022
1eRASS J040322.0-630539,60.84,-63.09444,
J040940.7-075329,62.42,-7.89356,SAO130994
1eRASS J041144.5-432233,62.94,-43.37592,
J041325.2+102752,63.35,10.46495,mcxcJ0413.4+1028
1eRASS J041340.2+111211,63.42,11.20409,
J041358.7-380555,63.49,-38.09814,J041358-380553
J041452.4-075540,63.72,-7.92754,IRAS04124-0803
J041716.8-055344,64.32,-5.89396,3C110
J041719.8+034651,64.33,3.78088,RXSJ04173+0347
J041938.2+022426,64.91,2.40953,J041937+022435
1eRASS J041941.9-122507,64.93,-12.41909,
1eRASSJ042000.3-545616,65.0,-54.93795,NGC1566
1eRASS J042127.4-481804,65.36,-48.3016,5BZQJ0421-4818
J042157.2-181933,65.49,-18.32496,N.A.
1eRASS J042202.7-415333,65.51,-41.89265,
J042551.3-083337,66.46,-8.56108,5BZG J0425-0833
1eRASSJ042600.6-571200,66.5,-57.20049,N.A.
1eRASS J042831.1-173432,67.13,-17.57593,
J042922.7+003706,67.34,0.61849,J042923+003703
J042938.1-210943,67.41,-21.16212,NPM1G-21.0146
1eRASS J043054.9-213118,67.73,-21.52208,
1eRASS J043137.0-024124,67.9,-2.69027,
J043337.7-131537,68.41,-13.26136,mcxcJ0433.6-1315
1eRASS J043516.3-780155,68.82,-78.03253,
1eRASS J043554.0-363642,68.97,-36.61184,
J043622.3-102232,69.09,-10.37579,MARK618
J043814.1-104745,69.56,-10.79612,MCG-2-12-050
J043902.2+052039,69.76,5.34547,5BZG J0439+0520
1eRASS J044040.3-411043,70.17,-41.17899,
J044122.3-270820,70.34,-27.13911,PGC3095695
1eRASS J044134.5-194104,70.39,-19.68474,
1eRASS J044154.1-082634,70.48,-8.44299,PGC3095696
J044255.6-263511,70.73,-26.58598,J044255-263509
J044320.6-282052,70.84,-28.34781,HE0441-2826
J044356.7-244153,70.99,-24.69728,J044356.74-244203.5
J044428.8+122111,71.12,12.35389,IRAS04416+1215
J044432.8-264252,71.14,-26.71415,WISEAJ044432.90-264251.1
J044637.3-042106,71.66,-4.35115,mcxcJ0446.6-0421
J044656.5-030512,71.74,-3.08672,NPM1G-03.0212
1eRASS J044720.6-050813,71.84,-5.13749,
1eRASS J044741.8-243502,71.92,-24.58427,
J044929.5-285955,72.37,-28.99822,J044929-285953
J045141.4-034834,72.92,-3.80892,MCG-1-13-025
1eRASS J045144.0-581059,72.93,-58.18345,
J045230.0-295335,73.13,-29.89325,IRAS04505-2958
1eRASS J045254.0-585348,73.23,-58.89597,
1eRASSJ045336.5-682920,73.41,-68.49054,J045338-682925
1eRASS J045608.7-215909,74.04,-21.98602,
1eRASS J045638.6-533210,74.16,-53.53664,
1eRASSJ045817.9-751637,74.57,-75.27723,4649182702130967296
J045854.4-002918,74.73,-0.48897,mcxcJ0458.9-0029
J045954.4+101748,74.98,10.29665,J045954+101747
1eRASS J050024.1-115348,75.1,-11.89691,
1eRASS J050137.9+025425,75.41,2.90709,SAO112327
1eRASS J050158.8+095856,75.5,9.98213,LP 476-207
J050209.0+033149,75.54,3.53077,PGC75258
1eRASS J050304.1-663346,75.77,-66.56287,
J050509.3-322000,76.29,-32.33255,J050509-321952
1eRASSJ050542.2-675239,76.43,-67.87908,J050542-675245
1eRASSJ050554.4-680152,76.48,-68.0311,J050554-680149
1eRASSJ050858.5-684333,77.24,-68.72478,CRATESJ050854-684418
1eRASS J050900.2-684344,77.25,-68.72859,
1eRASSJ050930.8-673117,77.38,-67.51982,N.A.
J051045.4+162958,77.69,16.49958,PGC3095715
J051323.9-332009,78.35,-33.33581,WISEAJ051323.95-332008.9
J051445.1-195146,78.69,-19.86323,J051445-195147
J051611.3-000858,79.05,-0.14974,AKN120
1eRASS J051621.0-103341,79.09,-10.56172,MCG-2-14-009
1eRASSJ051638.2-514647,79.16,-51.78038,N.A.
1eRASS J051651.8-042529,79.22,-4.42514,
1eRASSJ051933.9-690205,79.9,-69.03379,J051933-690205
J051935.7-323928,79.9,-32.65892,N.A.
1eRASSJ051949.6-454643,79.96,-45.77885,Pictor A
1eRASS J052031.8+061610,80.13,6.2694,
J052145.8+211252,80.44,21.21332,3HSPJ052146.0+211251
1eRASS J052245.5-391705,80.69,-39.28501,
1eRASS J052254.7+085806,80.73,8.96799,
1eRASS J052401.5-710931,81.01,-71.15901,
1eRASS J052406.9-121008,81.03,-12.16913,
1eRASS J052546.5+083734,81.44,8.62595,
1eRASS J052600.3-660455,81.5,-66.08033,
J052814.5-294311,82.06,-29.71919,J052814-294306
J052829.7+181656,82.12,18.28224,J052829+181656
1eRASS J052844.6-652650,82.19,-65.44745,SAO249286
J052852.7-392824,82.22,-39.47087,RBS0653
J052901.5+105711,82.26,10.95321,SNUJ05290+1057
