name_brerass,ra_x,dec_x,sample
BReRASSJ005252.0-473725,13.21698,-47.6237,eRASS1
BReRASSJ005548.1-613628,13.95047,-61.60779,eRASS1
BReRASSJ005806.0-460419,14.52538,-46.07218,eRASS1
BReRASSJ010312.8-554018,15.8036,-55.67174,eRASS1
BReRASSJ011548.7-565528,18.95329,-56.92455,eRASS1
BReRASSJ011751.5-545516,19.46492,-54.92128,eRASS1
BReRASSJ015019.1-532234,27.5796,-53.3762,eRASS1
BReRASSJ021439.4-433330,33.66444,-43.55834,eRASS1
BReRASSJ025018.8-212942,42.57871,-21.49506,eRASS1
BReRASSJ025055.3-361635,42.73063,-36.27663,eRASS1
BReRASSJ030326.4-240711,45.86028,-24.11999,eRASS1
BReRASSJ033623.8-034739,54.09947,-3.79417,eRASS1
BReRASSJ035054.7-195224,57.72792,-19.87337,eRASS1
BReRASSJ035432.7-134008,58.63657,-13.66903,eRASS1
BReRASSJ035618.9-392141,59.07887,-39.36139,eRASS1
BReRASSJ050043.1+190309,75.17993,19.05276,eRASS1
BReRASSJ050925.8+054135,77.35777,5.69322,eRASS1
BReRASSJ050957.3-641741,77.48893,-64.29478,eRASS1
BReRASSJ051949.6-454643,79.95671,-45.77887,eRASS1
BReRASSJ060026.3-484540,90.10998,-48.76133,eRASS1
BReRASSJ060336.1-194514,90.90042,-19.75393,eRASS1
BReRASSJ062736.9-260101,96.90378,-26.01718,eRASS1
BReRASSJ065901.6-721304,104.7567,-72.21795,eRASS1
BReRASSJ080309.7+191847,120.79058,19.31306,eRASS1
BReRASSJ083148.8+042941,127.95371,4.49473,eRASS1
BReRASSJ083724.6+145821,129.35274,14.97269,eRASS1
BReRASSJ083928.0-233659,129.86672,-23.61657,eRASS1
BReRASSJ091230.5+155528,138.12746,15.92453,eRASS1
BReRASSJ091420.0+013747,138.58371,1.62993,eFEDS
BReRASSJ094857.1+002226,147.23831,0.37407,eRASS1
BReRASSJ095814.3-350811,149.55986,-35.1365,eRASS1
BReRASSJ100406.7-220411,151.02821,-22.06992,eRASS1
BReRASSJ101446.9+230119,153.69568,23.02207,eRASS1
BReRASSJ101825.6+380535,154.60683,38.09308,eRASS1
BReRASSJ102436.2-383917,156.15111,-38.65474,eRASS1
BReRASSJ104058.4+134150,160.24363,13.69739,eRASS1
BReRASSJ105829.4+013400,164.62266,1.56672,eRASS1
BReRASSJ110538.7+020257,166.41158,2.04929,eRASS1
BReRASSJ113002.4-441449,172.51033,-44.247,eRASS1
BReRASSJ113109.5+311406,172.78985,31.23516,eRASS1
BReRASSJ113306.2+074153,173.27587,7.69828,eRASS1
BReRASSJ115709.5+282201,179.2897,28.36707,eRASS1
BReRASSJ121606.4+092909,184.02674,9.48606,eRASS1
BReRASSJ123143.4+284751,187.93095,28.7975,eRASS1
BReRASSJ125341.1-393157,193.4215,-39.53269,eRASS1
BReRASSJ131318.2-443731,198.32602,-44.62537,eRASS1
BReRASSJ132507.1-323814,201.27958,-32.63728,eRASS1
BReRASSJ132617.6+122959,201.57343,12.49984,eRASS1
BReRASSJ143202.8-375602,218.01188,-37.93395,eRASS1
BReRASSJ143320.6-283659,218.33602,-28.61649,eRASS1
BReRASSJ145149.4-414504,222.95618,-41.75126,eRASS1
BReRASSJ151741.8-242221,229.42438,-24.37257,eRASS1
BReRASSJ155336.4-690859,238.40169,-69.14999,eRASS1
BReRASSJ160657.4-123959,241.73939,-12.66651,eRASS1
BReRASSJ160658.7-664617,241.74457,-66.77161,eRASS1
BReRASSJ162601.7-661408,246.50729,-66.23578,eRASS1
BReRASSJ170551.1-742233,256.46297,-74.37585,eRASS1
BReRASSJ170917.9-832340,257.32496,-83.39463,eRASS1
BReRASSJ183638.5-375916,279.16063,-37.9879,eRASS1
BReRASSJ183906.3-370554,279.77633,-37.09849,eRASS1
BReRASSJ184038.8-770928,280.16182,-77.15799,eRASS1
BReRASSJ184926.3-644931,282.35978,-64.82546,eRASS1
BReRASSJ190827.5-475345,287.1146,-47.89588,eRASS1
BReRASSJ192114.1-584012,290.30904,-58.67024,eRASS1
BReRASSJ194945.4-794522,297.43931,-79.75632,eRASS1
BReRASSJ195010.1-400006,297.54245,-40.00179,eRASS1
BReRASSJ200027.9-585147,300.1163,-58.8631,eRASS1
BReRASSJ200913.4-853842,302.30598,-85.64518,eRASS1
BReRASSJ202943.8-552245,307.43253,-55.37943,eRASS1
BReRASSJ204220.4-532642,310.5852,-53.44517,eRASS1
BReRASSJ205737.5-570027,314.4065,-57.00767,eRASS1
BReRASSJ211702.7-485613,319.26151,-48.93707,eRASS1
BReRASSJ211723.6-550507,319.34834,-55.08543,eRASS1
BReRASSJ215307.1-644443,328.27995,-64.74532,eRASS1
BReRASSJ220303.7-560427,330.76557,-56.07426,eRASS1
BReRASSJ222231.1-462422,335.62988,-46.40636,eRASS1
BReRASSJ223504.5-493314,338.76887,-49.55408,eRASS1
BReRASSJ230136.3-591319,345.40128,-59.22221,eRASS1
BReRASSJ230240.0-453359,345.66674,-45.56648,eRASS1
BReRASSJ231905.9-420648,349.77491,-42.11357,eRASS1
BReRASSJ232459.5-722143,351.2481,-72.36201,eRASS1
