name,ra,dec
Abell 2 PN_G122.1-04.9,11.3947962,57.9596888
Abell 3 PN_G131.5+02.6,33.0277662,64.1510005
Abell 4 PN_G144.3-15.5,41.3483325,42.5513984
Abell 8 PN_G167.0-00.9,76.6600233,39.1358808
Abell 10 PN_G197.2-14.2,82.940365,6.9340235
Abell 13 PN_G204.0-08.5,91.19476,3.9408
Abell 15 PN_G233.5-16.3,96.7584718,-25.3805074
Abell 16 PN_G153.7+22.8,100.98024,61.79028
Abell 18 PN_G216.0-00.2,104.0596,-2.88559
Abell 19 PN_G200.7+08.4,104.9875735,14.6098151
Abell 20 PN_G214.9+07.8,110.7409,1.76039
Abell 21 PN_G205.1+14.2,112.26202,13.24167
Abell 23 PN_G249.3-05.4,115.8256378,-34.7537697
Abell 27 PN_G252.6+04.4,127.96911,-32.102
Abell 30 PN_G208.5+33.2,131.7230111,17.8795464
Abell 33 PN_G238.0+34.8,144.78757,-2.80907
Abell 37 PN_G326.7+42.2,211.1080212,-17.2278358
Abell 39 PN_G047.0+42.4,246.88923,27.90963
Abell 40 PN_G359.1+15.1,252.1436643,-21.0139718
Abell 43 PN_G036.0+17.6,268.3844994,10.6233954
Abell 50 PN_G078.5+18.7,284.8327176,48.4654179
Abell 53 PN_G040.3-00.4,286.6914041,6.3981397
Abell 61 PN_G077.6+14.7,289.7924966,46.2479162
Abell 65 PN_G017.3-21.9,296.6423578,-23.1366546
Abell 70 PN_G038.1-25.4,307.8883532,-7.0882429
Abell 78 PN_G081.2-14.9,323.87294,31.69574
Abell 81 PN_G117.5+18.9,340.6022693,80.442112
Abell 82 PN_G114.0-04.6,356.44778,57.06687
