ra,dec,name
3.19972194,-8.78350611,001247.93-084700.6
4.35571,14.19239111,001725.37+141132.6
6.22163111,6.946805,002453.19+065648.4
6.958075,7.11117889,002749.93+070640.2
9.0521,5.831075,003612.50+054951.8
10.59288,-10.62884111,004222.29-103743.8
11.02031111,1.56190111,004404.87+013342.8
11.24638,19.36145,004459.13+192141.2
13.44231806,22.53955111,005346.15+223222.3
15.30430111,-9.46170694,010113.03-092742.1
15.609655,-0.65125694,010226.31-003904.5
15.79696,13.27160889,010311.27+131617.7
15.80413806,2.35276,010312.99+022109.9
21.70038,3.451865,012648.09+032706.7
22.23849111,-1.33032111,012857.23-011949.1
23.5758,0.26019694,013418.19+001536.7
24.539755,-1.15562694,013809.54-010920.2
24.98235694,6.32293306,013955.76+061922.5
25.14589694,23.74753611,014035.01+234451.1
26.319155,-9.75481806,014516.59-094517.3
26.82668111,-8.41383694,014718.40-082449.8
28.15441806,-1.73291306,015237.06-014358.4
28.87512,-8.951135,015530.02-085704.0
38.84112389,-8.54149306,023521.86-083229.3
39.54195,1.57195611,023810.06+013419.0
39.84531194,-0.02212389,023922.87-000119.6
41.71630389,-0.99193806,024651.91-005930.9
44.90612,0.62677611,025937.46+003736.3
45.08917694,-7.24968611,030021.40-071458.8
46.09330694,0.37551111,030422.39+002231.8
47.61593889,-0.83077111,031027.82-004950.7
50.55790611,0.92039889,032213.89+005513.4
60.45409611,-5.68238194,040148.98-054056.5
113.288345,45.9184,073309.20+455506.2
113.75961694,26.98655389,073502.30+265911.5
114.38757611,39.34372806,073733.01+392037.4
115.35993306,35.78406111,074126.38+354702.6
115.96678111,27.21099,074352.02+271239.5
117.72768389,42.87201611,075054.64+425219.2
117.75594889,29.23865806,075101.42+291419.1
117.80128611,29.32730694,075112.30+291938.3
119.28109194,52.46089694,075707.46+522739.2
119.37658611,15.41474611,075730.38+152453.0
119.71467,22.082705,075851.52+220457.7
120.255895,18.81132194,080101.41+184840.7
120.32454389,48.45488611,080117.89+482717.5
120.92514,30.38186306,080342.03+302254.7
121.10402111,27.72315194,080424.96+274323.3
121.21972694,21.34728,080452.73+212050.2
121.25480194,52.61710389,080501.15+523701.5
121.39451694,54.52468111,080534.68+543128.8
121.49976806,26.10066194,080559.94+260602.3
121.62624306,14.71178611,080630.29+144242.4
122.28391389,46.32377694,080908.13+461925.5
122.47661111,7.73199389,080954.38+074355.1
122.53184694,54.41217111,081007.64+542443.8
123.380365,25.75085306,081331.28+254503.0
123.99662611,41.74920389,081559.19+414457.1
125.18903806,24.53136111,082045.36+243152.9
125.189115,13.10527,082045.38+130618.9
126.211635,15.72179,082450.79+154318.4
126.639625,7.71344306,082633.51+074248.3
126.99386694,23.55080806,082758.52+233302.9
127.49496,51.51237611,082958.79+513044.5
128.899195,24.99449111,083535.80+245940.1
129.70897,26.18485389,083850.15+261105.4
129.90769,22.66129611,083937.84+223940.6
130.43318694,13.06579194,084143.96+130356.8
130.76237611,3.03858389,084302.97+030218.9
131.15704194,5.260785,084437.69+051538.8
132.19213111,61.20963389,084846.11+611234.6
132.260855,30.04312194,084902.60+300235.2
