name,ra,dec
SUFSTJ000327+2739.2,0.86436,27.65448
SUFSTJ000402+7019.2,1.00755,70.32158
SUFSTJ000409+4526.3,1.03953,45.4397
SUFSTJ064656+0233.6,101.73484,2.56112
SUFSTJ065332+1814.8,103.38129,18.24732
SUFSTJ065549+4000.0,103.95584,40.00012
SUFSTJ065846+0418.4,104.6911,4.30742
SUFSTJ065938+5411.7,104.90949,54.19643
SUFSTJ070403+3830.4,106.01448,38.50711
SUFSTJ004227-1335.5,10.61339,-13.59275
SUFSTJ070426+4214.2,106.10838,42.23736
SUFSTJ070528+7533.4,106.36837,75.55759
SUFSTJ070819-0841.5,107.07785,-8.6928
SUFSTJ071211-0846.6,108.0468,-8.77717
SUFSTJ004343+3725.2,10.92799,37.42164
SUFSTJ071800+4405.4,109.50193,44.09056
SUFSTJ071924-1351.4,109.8506,-13.8575
SUFSTJ072311-3047.9,110.79461,-30.79931
SUFSTJ073218+8542.5,113.07605,85.70886
SUFSTJ072520-1556.1,111.33208,-15.93627
SUFSTJ072651-3225.3,111.71419,-32.42217
SUFSTJ072903+2702.5,112.26168,27.04169
SUFSTJ073807+2127.4,114.52959,21.45827
SUFSTJ074013+7230.8,115.0548,72.51358
SUFSTJ074323-3823.5,115.84451,-38.39184
SUFSTJ074451-2350.2,116.2121,-23.83819
SUFSTJ074754-0830.8,116.97509,-8.51486
SUFSTJ075408+4316.2,118.53408,43.27006
SUFSTJ075452+0410.8,118.71603,4.18033
SUFSTJ075403+4814.5,118.51453,48.24215
SUFSTJ075803+3913.3,119.5127,39.22179
SUFSTJ075910+5357.0,119.79356,53.95025
SUFSTJ075850-2912.6,119.70952,-29.21015
SUFSTJ075942-3843.9,119.92435,-38.73224
SUFSTJ080010+1655.1,120.04122,16.91943
SUFSTJ080207-1328.7,120.528,-13.47934
SUFSTJ080323+4333.1,120.84536,43.55271
SUFSTJ080342+2627.3,120.92639,26.45644
SUFSTJ080719+1008.9,121.82852,10.14882
SUFSTJ081015-0506.9,122.5612,-5.11581
SUFSTJ081521+2736.2,123.83583,27.60491
SUFSTJ004937-1847.9,12.40473,-18.7986
SUFSTJ082049-1933.6,125.20292,-19.56095
SUFSTJ082435-2944.4,126.14685,-29.74042
SUFSTJ082443+2959.3,126.18075,29.98997
SUFSTJ005027+8228.9,12.61198,82.48317
SUFSTJ082750-1427.2,126.95875,-14.45337
SUFSTJ083011+3759.9,127.54693,37.99847
SUFSTJ083225+3707.6,128.10555,37.12674
SUFSTJ083437+4428.6,128.65355,44.477
SUFSTJ083659+4426.0,129.24532,44.43392
SUFSTJ084107+0312.1,130.27708,3.20188
SUFSTJ084152-3559.9,130.46459,-35.99981
SUFSTJ084326+1101.9,130.85718,11.03287
SUFSTJ084345+3549.7,130.93678,35.8287
SUFSTJ084512-2717.8,131.30047,-27.29808
SUFSTJ084815+1803.8,132.06375,18.06499
SUFSTJ084749+1331.6,131.95487,13.52826
SUFSTJ085222-2516.4,133.09111,-25.27453
SUFSTJ085439+1741.3,133.66355,17.68979
SUFSTJ085516+5616.9,133.81625,56.28268
SUFSTJ085517-2854.3,133.82222,-28.90571
SUFSTJ085608+2604.6,134.03411,26.0774
SUFSTJ090202-0537.6,135.50632,-5.62718
SUFSTJ090412+2201.3,136.05152,22.02174
SUFSTJ090604+1941.7,136.51576,19.69537
SUFSTJ005441+0001.1,13.67089,0.01909
SUFSTJ090746+5246.7,136.94372,52.77836
SUFSTJ090834+0455.4,137.1434,4.92352
SUFSTJ091338-1922.6,138.40673,-19.37809
SUFSTJ091623+1328.4,139.09568,13.47458
SUFSTJ092253+3957.2,140.7199,39.95391
SUFSTJ092730+3010.7,141.87441,30.17946
SUFSTJ092852+0416.4,142.21608,4.27404
SUFSTJ093111+4616.2,142.7967,46.2715
SUFSTJ093137-1644.0,142.90314,-16.73486
SUFSTJ093511-1450.0,143.79707,-14.83348
SUFSTJ093707+3948.1,144.27748,39.80215
SUFSTJ093703+3615.6,144.263,36.26137
SUFSTJ093731-0544.6,144.37914,-5.74357
SUFSTJ093820+5202.9,144.58332,52.04905
SUFSTJ094205+2341.1,145.51943,23.68546
SUFSTJ005802+1553.2,14.50664,15.88693
SUFSTJ094437-2633.9,146.1544,-26.56584
SUFSTJ094526+1942.6,146.35857,19.7107
SUFSTJ094715+6317.2,146.81375,63.28808
SUFSTJ094939-0509.9,147.41191,-5.16609
SUFSTJ095033+4418.8,147.63648,44.31361
SUFSTJ095147+0202.6,147.94781,2.0447
SUFSTJ095533+6903.9,148.88829,69.06516
SUFSTJ095557-0959.0,148.9889,-9.98432
SUFSTJ095834-0521.5,149.64146,-5.35945
SUFSTJ095928-0545.6,149.86832,-5.76151
SUFSTJ010016-1518.0,15.06638,-15.30009
SUFSTJ100306+2433.2,150.77315,24.55476
SUFSTJ100155+7210.2,150.47981,72.17099
SUFSTJ100535+0134.7,151.39625,1.57915
SUFSTJ101248-2644.5,153.20127,-26.74193
SUFSTJ101851-0101.0,154.71087,-1.01794
SUFSTJ101900+3752.6,154.75197,37.87772
SUFSTJ102739+6050.2,156.91068,60.83782
SUFSTJ103146-3513.0,157.9422,-35.21778
SUFSTJ103558+3138.4,158.99253,31.64098
SUFSTJ010338+2038.5,15.90826,20.64209
SUFSTJ103852+3256.9,159.71662,32.94939
SUFSTJ103941+0536.1,159.92053,5.60253
SUFSTJ104100+3533.8,160.2508,35.5641
SUFSTJ104209-4000.5,160.53722,-40.00857
SUFSTJ104643+2555.9,161.67791,25.93175
SUFSTJ105138-1707.5,162.90648,-17.12541
SUFSTJ105730+5759.7,164.37487,57.99657
SUFSTJ110050-3443.4,165.2068,-34.72397
SUFSTJ110233+2245.2,165.63873,22.75381
SUFSTJ111114+0134.5,167.80946,1.57503
SUFSTJ111350+0935.1,168.45697,9.58606
SUFSTJ111437+1227.2,168.6539,12.45443
SUFSTJ111520+5423.2,168.83286,54.38828
SUFSTJ111637+0557.6,169.15369,5.96105
SUFSTJ112010-3054.7,170.04374,-30.91249
SUFSTJ112019-1018.7,170.07955,-10.31222
SUFSTJ112114+0325.7,170.30941,3.42975
SUFSTJ112156+1419.8,170.48225,14.33001
SUFSTJ113235+5304.1,173.14456,53.06836
SUFSTJ010911-3232.6,17.29632,-32.54484
SUFSTJ113307+5030.9,173.27912,50.51522
SUFSTJ113534+7022.7,173.89024,70.3787
SUFSTJ114116+2156.3,175.31686,21.93945
SUFSTJ114533+5858.6,176.38672,58.97789
SUFSTJ114629+7421.5,176.62155,74.35865
SUFSTJ115243+2037.8,178.17743,20.63157
SUFSTJ115817+3621.1,179.57042,36.35312
SUFSTJ115756+5527.2,179.48315,55.45378
SUFSTJ120058+0648.3,180.24088,6.80618
SUFSTJ120060+4009.2,180.24942,40.15469
SUFSTJ120115-0340.6,180.31058,-3.67809
SUFSTJ011210+3303.2,18.04109,33.05435
SUFSTJ120914+4703.4,182.30955,47.05789
SUFSTJ120945+3217.0,182.43797,32.28407
SUFSTJ121044+3820.1,182.68497,38.33609
SUFSTJ120849+6711.6,182.20239,67.19484
SUFSTJ121123+1309.5,182.84473,13.15937
SUFSTJ121309+3235.8,183.289,32.59709
SUFSTJ121355-0530.3,183.47773,-5.50537
